,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3,OUT
2435,23.42,5.44,29.39,33.4,4.01,37.89,1
2436,24.43,5.53,23.22,27.18,3.96,40.96,2
2437,27.34,5.68,21.98,25.92,3.95,37.44,1
2438,19.94,5.72,26.82,31.01,4.19,31.16,1
2439,24.56,5.8,19.54,24.04,4.5,39.65,2
2440,22.28,5.26,9.69,17.77,8.08,86.68,2
2441,15.97,5.31,10.5,16.11,5.62,88.14,2
2442,20.85,4.83,10.79,16.11,5.32,88.81,2
2443,23.99,5.35,10.27,15.5,5.23,96.87,2
2444,22.2,5.55,10.42,15.88,5.46,106.57,2
2445,17.51,5.31,10.31,15.32,5.01,107.28,2
2446,13.61,5.13,13.25,17.88,4.64,102.94,2
2447,12.21,5.29,63.82,93.0,29.18,53.83,3
2448,19.98,6.45,170.21,339.56,169.36,3.07,3
2449,33.65,6.6,142.15,260.31,118.16,2.73,3
2450,43.15,6.53,126.05,211.37,85.32,2.67,3
2451,55.75,5.86,67.68,83.07,15.4,34.66,3
2452,52.84,6.08,108.72,160.9,52.18,15.5,3
2453,34.56,6.32,103.93,146.02,42.1,2.43,2
2454,37.24,6.02,46.22,51.51,5.29,26.72,2
2455,27.38,6.04,57.54,66.1,8.56,16.25,2
2456,27.51,6.32,44.13,49.55,5.42,29.31,2
2457,30.75,7.0,40.22,51.6,11.38,32.86,2
2458,28.48,6.82,59.9,86.62,26.72,20.86,2
2459,38.46,6.06,39.52,58.42,18.9,49.0,2
2460,45.5,5.31,11.27,16.9,5.63,70.32,2
2461,34.37,4.89,11.35,16.46,5.11,85.42,2
2462,39.47,4.77,11.21,16.11,4.9,84.14,2
2463,38.67,5.22,13.09,18.71,5.62,90.23,2
2464,49.4,6.29,12.02,17.1,5.08,106.83,3
2465,53.31,5.83,12.86,18.18,5.32,96.26,2
2466,49.15,5.78,16.02,22.0,5.98,91.6,2
2467,48.38,5.72,17.85,23.54,5.69,85.9,2
2468,47.5,5.47,18.62,25.11,6.49,90.46,2
2469,44.9,5.26,23.82,30.74,6.92,75.4,2
2470,49.3,5.55,25.85,34.03,8.18,64.59,2
2471,48.66,5.65,14.66,21.51,6.85,68.13,2
2472,48.26,5.66,19.38,26.0,6.61,61.22,2
2473,39.9,5.77,64.16,77.85,13.69,26.0,2
2474,47.17,6.24,88.21,129.41,41.2,8.73,2
2475,37.83,5.83,22.06,26.65,4.59,46.84,2
2476,39.19,5.58,16.62,20.48,3.86,46.93,2
2477,42.77,5.59,20.14,25.2,5.07,41.77,2
2478,35.26,5.22,12.49,16.53,4.04,41.65,2
2479,38.32,5.26,10.08,14.76,4.68,39.4,2
2480,39.33,5.26,14.92,21.59,6.67,34.87,2
2481,34.62,5.22,16.25,22.97,6.73,34.5,2
2482,44.44,4.92,13.62,19.9,6.28,38.42,2
2483,44.12,4.4,16.62,22.8,6.18,42.72,2
2484,42.5,4.0,11.88,17.52,5.64,52.31,2
2485,40.6,3.91,10.74,17.4,6.66,53.53,2
2486,38.65,4.12,11.49,18.06,6.57,56.54,2
2487,40.19,4.5,10.75,16.05,5.3,63.75,2
2488,42.49,4.38,11.93,17.38,5.45,67.83,2
2489,35.27,4.68,13.84,20.25,6.41,65.52,2
2490,37.94,5.03,15.32,21.25,5.93,80.66,2
2491,33.13,5.06,17.38,22.99,5.61,83.98,2
2492,23.91,5.17,24.68,31.76,7.08,70.54,2
2493,20.1,5.48,35.06,42.6,7.54,75.35,2
2494,24.4,5.88,53.21,64.63,11.42,59.19,2
2495,20.62,6.21,70.7,84.37,13.68,25.01,2
2496,34.66,5.25,14.54,19.56,5.02,55.95,2
2497,31.7,4.88,18.01,23.45,5.44,42.19,2
2498,27.79,4.86,20.57,24.59,4.01,36.47,2
2499,28.27,4.95,15.07,18.98,3.92,34.49,2
2500,32.85,4.88,12.84,16.78,3.94,32.68,1
2501,23.76,5.16,27.73,33.74,6.01,26.06,2
2502,27.3,5.14,18.06,22.49,4.43,29.14,2
2503,31.48,5.41,44.31,52.73,8.42,14.88,2
2504,29.76,5.61,40.69,52.72,12.04,20.49,2
2505,37.92,5.12,41.77,56.46,14.69,26.0,3
2506,50.18,4.7,13.0,19.21,6.22,41.81,2
2507,39.93,4.15,10.97,15.96,4.98,45.79,2
2508,43.83,3.85,11.51,16.87,5.36,48.09,2
2509,35.38,3.89,10.11,15.07,4.96,52.41,2
2510,35.04,4.08,10.59,15.92,5.33,73.95,2
2511,36.54,4.05,14.03,20.14,6.12,68.64,2
2512,31.01,3.69,14.8,21.18,6.38,50.61,3
2513,57.3,3.25,13.59,20.54,6.95,40.1,3
2514,65.22,3.1,13.57,20.08,6.51,34.66,3
2515,70.81,3.09,13.23,19.6,6.38,32.59,2
2516,49.09,2.95,12.68,19.58,6.9,29.91,2
2517,46.49,3.26,9.92,15.33,5.41,28.78,2
2518,35.33,3.7,13.39,18.34,4.95,27.61,2
2519,25.31,3.74,8.34,12.52,4.18,29.82,1
2520,19.19,4.1,7.79,12.31,4.53,30.56,1
2521,13.99,4.35,7.99,12.57,4.58,30.84,1
2522,11.06,4.49,6.54,11.0,4.46,31.93,1
2523,10.72,4.64,8.22,13.03,4.8,31.18,1
2524,11.68,4.74,13.76,20.94,7.17,29.79,1
2525,8.37,4.79,10.92,15.92,5.0,30.15,1
2526,19.31,3.45,11.53,16.72,5.19,45.17,1
2527,21.96,3.09,9.72,14.33,4.61,52.07,2
2528,26.6,3.22,10.46,15.74,5.28,56.53,2
2529,32.23,3.04,12.49,18.81,6.32,60.03,2
2530,41.38,2.96,12.09,17.45,5.36,61.62,2
2531,42.13,2.9,14.96,20.53,5.58,56.46,2
2532,41.21,2.81,17.99,24.72,6.73,49.0,2
2533,38.7,2.68,17.95,25.88,7.92,40.87,2
2534,34.16,2.84,16.09,23.38,7.29,35.1,2
2535,43.96,2.8,15.32,22.89,7.57,30.46,2
2536,37.81,2.83,17.5,25.17,7.68,28.38,2
2537,34.11,3.12,15.22,21.47,6.25,27.51,2
2538,38.08,3.25,13.26,18.04,4.78,25.35,2
2539,27.31,3.32,11.8,20.45,8.65,24.08,2
2540,27.18,3.49,9.31,13.77,4.47,23.76,1
2541,21.95,3.69,21.49,27.46,5.96,17.3,1
2542,18.32,3.9,28.82,35.41,6.59,14.76,1
2543,19.65,4.16,22.37,28.6,6.23,14.96,2
2544,28.41,3.39,15.71,22.74,7.02,38.45,2
2545,34.82,3.21,14.2,20.24,6.04,43.68,2
2546,30.15,2.89,10.6,16.19,5.59,45.94,2
2547,33.46,3.0,12.27,18.08,5.8,46.41,2
2548,43.62,2.7,9.74,16.41,6.67,28.77,2
2549,33.15,2.58,10.39,18.04,7.65,25.29,2
2550,31.86,2.61,9.9,14.57,4.68,25.2,2
2551,31.23,2.63,7.79,12.31,4.52,24.58,1
2552,24.5,2.54,7.82,12.08,4.26,23.6,1
2553,19.85,2.6,6.83,10.88,4.05,23.04,1
2554,19.65,2.47,6.79,11.76,4.97,24.07,1
2555,18.25,2.54,12.8,21.85,9.05,22.14,1
2556,21.82,2.43,8.64,14.75,6.11,35.89,1
2557,18.38,2.36,8.88,15.06,6.18,41.0,1
2558,20.95,2.54,9.83,16.61,6.78,39.71,1
2559,21.81,2.31,10.33,16.93,6.6,43.71,1
2560,21.9,2.39,11.34,17.21,5.87,48.31,1
2561,24.19,2.92,13.14,19.72,6.58,50.24,1
2562,20.12,2.84,14.45,21.3,6.85,52.94,1
2563,20.54,3.13,21.92,29.7,7.79,47.39,1
2564,14.38,4.29,26.25,33.3,7.04,38.03,1
2565,12.91,5.94,39.34,47.54,8.2,26.17,1
2566,17.05,5.98,32.08,40.3,8.23,26.83,1
2567,14.29,5.39,15.94,21.14,5.21,33.13,1
2568,11.82,4.64,13.71,19.24,5.53,34.48,1
2569,11.68,3.94,8.18,12.05,3.87,36.45,1
2570,11.6,3.94,8.06,11.64,3.59,35.27,1
2571,16.36,3.52,7.06,10.52,3.47,35.42,1
2572,19.09,3.35,7.88,11.38,3.49,32.81,1
2573,13.97,3.37,8.33,11.83,3.5,32.72,1
2574,11.58,3.44,45.17,58.29,13.12,13.07,1
2575,14.5,3.13,13.16,20.65,7.5,35.88,1
2576,16.72,2.96,13.24,18.66,5.43,39.0,1
2577,22.75,2.99,10.89,16.14,5.25,41.52,2
2578,28.51,3.0,10.59,16.56,5.97,50.07,1
2579,22.39,2.8,28.85,33.57,4.72,50.65,1
2580,20.83,2.71,38.71,43.02,4.32,35.0,2
2581,34.24,2.63,17.02,21.57,4.56,32.92,2
2582,35.3,2.65,11.21,14.98,3.76,29.8,2
2583,30.82,2.54,9.38,13.09,3.71,29.26,1
2584,24.47,2.52,7.58,11.23,3.65,28.73,1
2585,20.62,2.55,9.23,13.11,3.88,27.55,1
2586,23.25,2.56,8.14,11.77,3.62,27.62,1
2587,18.98,2.51,8.8,12.49,3.68,28.11,1
2588,14.4,2.48,8.62,12.47,3.85,28.68,1
2589,14.78,2.44,10.87,15.76,4.89,28.72,1
2590,17.07,2.84,9.41,14.74,5.33,52.93,1
2591,13.52,2.72,8.26,12.82,4.56,56.37,2
2592,13.22,2.84,7.99,12.87,4.88,61.17,2
2593,11.62,3.02,8.55,13.71,5.16,74.65,2
2594,12.39,3.18,8.96,13.86,4.9,85.86,2
2595,14.05,2.98,11.28,17.06,5.78,90.7,2
2596,13.62,3.2,13.15,18.58,5.43,94.3,2
2597,13.38,3.12,20.94,26.74,5.8,82.52,2
2598,16.86,3.11,27.76,32.52,4.76,63.11,1
2599,19.88,3.32,37.59,42.35,4.76,38.9,2
2600,26.33,2.89,29.63,34.62,4.99,44.3,2
2601,30.85,2.8,25.05,29.52,4.47,44.51,2
2602,27.72,2.82,27.6,31.43,3.82,40.38,2
2603,28.16,2.65,22.21,25.99,3.79,44.36,2
2604,31.93,2.64,14.44,18.33,3.89,43.38,2
2605,26.48,2.8,16.81,20.76,3.96,41.96,2
2606,31.14,2.73,11.75,15.3,3.56,43.22,2
2607,31.95,2.63,15.44,19.21,3.77,37.14,2
2608,28.03,2.45,13.93,17.87,3.94,37.72,2
2609,26.42,2.6,14.09,18.56,4.48,38.98,2
2610,28.55,2.72,15.61,22.84,7.24,42.94,2
2611,28.6,2.8,17.44,23.75,6.31,54.74,2
2612,36.0,2.61,11.93,16.9,4.97,68.57,2
2613,34.45,2.72,12.29,18.52,6.23,70.3,2
2614,31.16,2.92,7.41,11.86,4.45,77.73,2
2615,33.91,2.74,10.69,16.41,5.72,82.83,2
2616,37.77,2.88,13.88,20.04,6.16,85.18,3
2617,83.08,2.81,20.88,25.9,5.02,74.07,3
2618,85.92,2.57,19.84,24.25,4.41,70.8,3
2619,74.56,2.53,21.25,25.51,4.26,65.18,3
2620,56.66,2.39,20.17,24.02,3.85,63.1,2
2621,48.91,2.57,15.21,18.91,3.7,61.63,2
2622,43.89,2.93,18.58,22.12,3.54,57.67,2
2623,40.23,2.77,18.86,22.38,3.52,54.78,2
2624,31.09,2.58,14.68,18.19,3.52,55.51,2
2625,30.93,2.76,10.8,14.42,3.62,67.75,2
2626,29.68,2.94,18.99,25.69,6.7,70.33,2
2627,32.19,3.0,19.47,26.47,7.0,84.2,2
2628,42.3,2.83,12.19,18.08,5.89,105.92,2
2629,45.9,2.77,12.85,18.59,5.74,104.77,2
2630,41.2,2.8,13.19,20.25,7.06,110.97,2
2631,36.98,2.67,12.47,18.01,5.54,112.99,2
2632,32.5,2.59,10.65,15.75,5.11,112.68,2
2633,35.52,2.69,15.84,23.38,7.54,104.98,2
2634,36.28,2.6,16.78,22.76,5.98,102.96,2
2635,34.82,2.85,20.91,27.04,6.13,96.72,2
2636,31.86,3.06,28.21,33.02,4.81,83.24,2
2637,31.79,2.77,32.2,36.82,4.61,68.12,2
2638,30.36,2.47,34.16,38.6,4.45,58.67,2
2639,33.96,2.46,19.18,23.2,4.02,73.2,2
2640,34.66,2.61,12.47,16.17,3.7,79.68,2
2641,30.18,2.74,13.31,17.11,3.8,76.4,2
2642,31.86,2.82,22.99,26.8,3.82,56.94,2
2643,37.99,3.06,36.44,41.96,5.52,38.26,2
2644,33.47,2.82,29.92,34.31,4.39,47.74,2
2645,33.88,2.79,33.37,37.96,4.59,35.8,1
2646,24.14,2.81,26.71,30.5,3.78,43.61,1
2647,21.36,2.86,29.66,34.29,4.63,43.11,2
2648,31.32,3.18,15.4,22.02,6.61,103.02,3
2649,31.98,2.71,11.27,17.51,6.24,128.52,3
2650,25.27,2.82,11.81,17.92,6.11,128.46,2
2651,22.61,2.91,11.64,19.29,7.65,119.01,3
2652,26.45,2.91,10.04,15.0,4.96,123.74,3
2653,26.27,3.04,11.59,17.47,5.88,129.6,3
2654,27.71,2.86,14.79,21.23,6.44,134.24,3
2655,33.65,3.26,20.88,27.11,6.23,130.99,3
2656,40.95,3.18,19.09,23.77,4.68,124.88,2
2657,46.16,3.99,95.46,113.7,18.24,35.79,3
2658,50.15,3.5,72.68,81.8,9.12,46.28,3
2659,55.52,3.63,27.08,31.46,4.38,75.33,3
2660,50.68,2.88,30.44,34.22,3.78,58.95,2
2661,43.51,2.92,31.13,35.66,4.53,53.95,2
2662,34.52,3.19,30.35,34.43,4.08,46.51,2
2663,36.28,3.67,50.5,56.9,6.4,19.86,2
2664,35.14,3.57,50.76,62.2,11.44,20.06,2
2665,34.26,3.11,21.33,25.0,3.67,45.73,2
2666,28.81,2.88,16.44,20.05,3.61,44.57,2
2667,25.55,2.94,16.58,20.32,3.74,40.67,1
2668,20.78,2.85,23.07,27.71,4.64,33.43,1
2669,24.0,2.78,25.67,33.45,7.78,34.43,2
2670,30.11,2.77,16.32,22.05,5.73,68.6,2
2671,26.81,2.9,17.28,23.21,5.92,82.38,2
2672,25.2,3.11,16.1,22.26,6.16,94.65,2
2673,30.37,3.2,15.49,20.62,5.14,103.52,2
2674,34.88,3.29,14.71,20.19,5.48,103.2,2
2675,31.48,3.53,20.34,29.94,9.6,101.7,2
2676,30.38,3.53,16.14,23.39,7.25,104.16,2
2677,35.11,3.39,16.4,22.9,6.5,96.78,2
2678,44.28,3.24,20.19,25.55,5.36,93.21,3
2679,51.37,3.12,27.64,32.16,4.51,75.11,3
2680,56.47,3.21,45.8,51.58,5.78,58.54,3
2681,52.06,3.06,33.56,37.51,3.96,66.45,2
2682,42.62,3.11,48.42,52.82,4.4,49.89,2
2683,27.36,3.13,20.59,24.4,3.81,56.17,2
2684,27.9,3.05,20.15,23.83,3.68,52.27,1
2685,21.77,3.37,37.07,41.32,4.24,33.21,1
2686,23.36,3.4,34.88,39.0,4.12,34.76,2
2687,28.0,3.22,19.8,23.58,3.78,45.15,2
2688,25.04,3.33,15.15,19.05,3.9,49.26,1
2689,24.93,3.26,24.52,30.22,5.7,42.22,2
2690,30.31,3.2,24.74,35.52,10.78,45.33,2
2691,31.71,3.02,19.13,26.15,7.02,52.85,2
2692,33.18,3.07,19.84,25.75,5.92,66.6,2
2693,36.45,3.58,16.58,22.02,5.44,86.51,2
2694,36.71,3.86,13.86,21.54,7.68,100.37,3
2695,33.92,3.6,13.7,23.67,9.96,123.9,3
2696,29.51,3.5,12.96,18.24,5.27,139.02,3
2697,31.1,3.37,10.47,15.09,4.62,138.9,3
2698,31.29,2.94,17.01,25.11,8.1,122.99,3
2699,23.54,3.17,17.75,23.44,5.7,126.94,3
2700,24.88,3.24,22.52,27.2,4.68,130.71,2
2701,32.97,3.42,87.21,96.11,8.9,51.56,2
2702,32.41,3.21,54.19,58.73,4.54,72.31,2
2703,36.26,3.02,35.04,39.14,4.09,74.37,2
2704,36.63,3.01,29.32,33.08,3.76,62.0,2
2705,27.24,3.13,36.96,41.1,4.14,52.58,1
2706,23.49,3.44,29.22,33.23,4.01,56.57,2
2707,29.15,3.21,19.8,23.54,3.74,62.31,2
2708,27.92,3.09,15.22,19.05,3.82,56.61,1
2709,24.28,2.75,13.81,17.43,3.62,45.97,2
2710,31.33,2.6,12.0,15.68,3.68,41.14,2
2711,29.91,2.64,12.04,15.92,3.89,37.78,2
2712,28.53,2.43,17.77,22.52,4.75,34.01,2
2713,35.94,2.43,16.77,21.77,5.0,35.63,2
2714,37.7,2.66,16.98,24.45,7.47,39.62,2
2715,31.66,2.48,15.02,22.04,7.01,47.16,2
2716,31.13,2.51,12.05,16.93,4.88,52.92,2
2717,37.08,2.77,10.84,15.72,4.88,60.66,2
2718,30.82,2.87,9.86,14.54,4.68,69.04,2
2719,32.43,3.08,12.18,17.32,5.14,87.28,2
2720,27.28,3.14,11.75,16.63,4.88,108.06,3
2721,25.41,3.31,10.74,15.21,4.47,124.53,3
2722,28.6,3.37,12.44,16.95,4.5,142.29,3
2723,21.93,3.18,13.09,17.36,4.26,147.49,3
2724,20.23,3.18,22.38,26.63,4.24,132.77,2
2725,22.26,3.25,65.14,70.11,4.97,82.9,2
2726,28.66,3.35,63.43,68.09,4.66,60.94,2
2727,35.4,2.95,33.62,40.31,6.69,70.67,2
2728,31.36,2.64,27.33,30.96,3.62,83.98,2
2729,25.7,3.2,30.67,34.58,3.92,69.99,2
2730,28.28,3.45,20.73,24.89,4.16,64.84,2
2731,33.1,3.23,21.0,24.7,3.71,54.18,2
2732,30.06,2.97,18.4,22.11,3.72,44.76,1
2733,22.9,2.58,12.64,16.3,3.66,41.13,1
2734,22.72,2.51,12.14,15.88,3.74,36.9,2
2735,25.91,2.62,11.22,15.13,3.91,37.28,1
2736,20.07,2.62,11.41,15.27,3.85,37.39,1
2737,21.46,2.48,13.19,17.69,4.5,39.17,1
2738,22.3,2.6,13.41,18.44,5.03,45.22,1
2739,18.96,2.76,13.15,18.68,5.53,54.15,2
2740,21.2,3.04,10.27,15.67,5.4,71.69,2
2741,15.96,2.99,14.1,20.84,6.74,82.42,2
2742,13.5,3.17,11.37,17.11,5.75,93.78,2
2743,14.88,3.26,10.31,15.46,5.15,98.73,2
2744,16.94,3.48,11.5,17.01,5.51,103.05,2
2745,17.24,4.31,13.26,18.97,5.71,98.72,2
2746,14.46,5.6,17.07,23.88,6.82,110.19,2
2747,13.9,6.76,21.68,27.21,5.54,113.51,2
2748,11.98,4.81,27.8,34.36,6.55,97.98,1
2749,13.36,3.42,21.6,27.87,6.26,53.65,1
2750,20.44,3.78,15.84,21.97,6.14,52.31,2
2751,33.79,3.48,18.48,23.19,4.71,47.55,1
2752,24.1,3.2,18.03,22.6,4.56,43.21,1
2753,20.87,2.97,12.24,15.95,3.71,42.71,1
2754,24.02,2.92,12.98,16.6,3.62,41.09,1
2755,20.94,2.88,12.27,15.84,3.57,41.09,1
2756,17.28,3.04,10.33,13.82,3.49,46.46,1
2757,18.7,3.03,13.34,16.84,3.5,50.76,1
2758,14.57,3.21,13.02,16.59,3.57,54.57,1
2759,10.9,3.41,14.57,18.54,3.97,53.35,1
2760,10.59,3.26,16.18,20.94,4.76,55.0,1
2761,13.84,3.26,19.29,27.89,8.6,55.74,1
2762,14.0,3.02,14.41,21.03,6.62,55.76,2
2763,19.57,3.14,12.67,18.14,5.46,62.9,2
2764,19.28,3.37,12.78,19.38,6.6,71.06,2
2765,22.36,3.26,11.06,16.48,5.42,79.48,2
2766,25.23,3.27,10.36,15.12,4.76,89.39,2
2767,23.41,3.43,10.18,14.56,4.39,95.68,2
2768,26.18,3.36,14.12,20.05,5.93,94.08,2
2769,29.27,3.29,13.36,20.19,6.83,87.3,2
2770,23.38,3.32,14.89,21.03,6.14,91.79,2
2771,18.95,3.29,19.32,24.7,5.38,95.48,2
2772,17.86,3.38,36.69,41.4,4.71,75.32,2
2773,20.34,4.01,48.9,56.22,7.32,66.68,2
2774,20.89,4.53,83.33,103.77,20.43,22.12,2
2775,32.3,3.29,38.19,42.28,4.09,51.41,2
2776,28.21,3.0,24.97,29.42,4.46,47.98,2
2777,26.04,3.2,19.49,23.37,3.88,47.92,2
2778,30.32,3.43,22.6,26.19,3.58,45.63,2
2779,34.82,3.49,17.51,20.98,3.48,48.97,2
2780,28.01,3.58,16.36,19.82,3.47,49.19,2
2781,25.64,3.59,15.86,19.78,3.92,49.5,2
2782,25.74,3.61,16.63,20.18,3.55,50.57,1
2783,19.67,3.45,15.42,19.66,4.23,57.71,2
2784,20.12,3.43,15.98,21.56,5.58,62.56,2
2785,21.28,3.96,19.61,26.89,7.29,64.65,2
2786,19.55,3.82,15.63,21.56,5.93,84.1,2
2787,27.74,3.42,11.38,16.84,5.47,92.53,2
2788,33.16,3.42,11.02,15.89,4.87,97.61,2
2789,30.9,3.06,9.2,14.14,4.94,103.75,2
2790,43.04,3.24,12.23,17.51,5.28,108.8,3
2791,72.7,3.28,12.21,17.19,4.98,120.7,3
2792,54.63,3.21,12.28,16.91,4.64,131.93,3
2793,47.24,3.16,15.76,21.49,5.73,146.13,3
2794,40.72,2.86,16.52,21.09,4.57,141.26,3
2795,39.12,2.62,20.64,24.9,4.26,133.57,2
2796,36.82,2.98,40.86,45.01,4.16,109.7,2
2797,31.11,3.2,90.65,102.68,12.03,45.14,2
2798,37.58,3.31,90.9,105.12,14.22,17.99,2
2799,46.28,2.7,43.56,47.79,4.23,56.17,2
2800,40.55,2.45,27.14,30.91,3.77,76.49,2
2801,37.96,2.94,20.53,24.05,3.52,66.66,2
2802,39.8,3.37,28.98,33.64,4.66,46.58,2
2803,38.55,3.45,21.14,24.7,3.56,49.33,2
2804,32.12,3.44,16.4,19.9,3.5,53.63,2
2805,32.26,3.46,15.85,19.37,3.52,56.27,2
2806,29.16,3.52,18.86,23.55,4.69,55.97,2
2807,26.38,3.53,21.73,26.01,4.28,54.71,2
2808,26.66,3.79,33.52,42.7,9.18,48.09,2
2809,36.16,3.63,23.3,32.65,9.34,63.94,2
2810,34.51,3.58,17.08,23.26,6.18,78.46,2
2811,28.56,3.26,12.75,18.62,5.87,92.9,2
2812,31.66,3.13,8.77,13.26,4.5,103.8,2
2813,29.37,3.11,9.34,14.34,5.0,105.93,2
2814,24.24,3.34,13.91,19.64,5.73,108.77,2
2815,22.56,3.4,10.26,15.82,5.56,117.66,2
2816,19.38,3.14,11.98,16.98,5.0,116.74,2
2817,19.16,3.18,14.26,19.87,5.62,116.75,3
2818,23.38,3.15,15.21,21.84,6.62,120.86,2
2819,17.72,2.87,19.62,27.38,7.76,103.41,2
2820,16.2,2.86,40.74,47.47,6.73,73.6,3
2821,18.52,3.31,102.29,121.56,19.27,18.03,3
2822,24.14,3.79,129.1,213.51,84.41,1.18,2
2823,45.62,3.32,65.44,75.83,10.39,51.78,3
2824,50.79,3.99,25.29,28.82,3.52,75.24,2
2825,43.16,3.93,13.58,17.11,3.53,75.1,2
2826,41.69,4.17,15.7,19.36,3.66,68.4,2
2827,30.62,3.87,14.02,17.49,3.48,63.23,1
2828,24.37,3.88,15.0,18.45,3.46,55.67,1
2829,24.97,3.66,13.32,16.8,3.48,54.15,1
2830,21.39,3.69,15.54,19.09,3.55,51.46,1
2831,18.3,3.65,23.33,27.97,4.64,45.78,2
2832,27.88,3.74,37.94,47.17,9.22,34.85,2
2833,40.62,4.3,23.11,30.61,7.5,55.13,2
2834,34.1,4.55,15.45,21.68,6.23,74.47,2
2835,35.95,4.43,19.63,27.88,8.25,80.51,2
2836,37.62,4.32,17.49,23.74,6.24,93.51,2
2837,29.02,4.46,12.36,20.78,8.41,106.92,2
2838,28.6,4.0,9.94,14.49,4.55,112.05,2
2839,39.99,3.91,9.44,14.6,5.15,114.61,2
2840,34.43,3.76,11.78,17.36,5.58,115.78,2
2841,32.85,3.87,19.79,30.08,10.29,109.18,2
2842,25.93,3.97,17.08,22.59,5.51,106.07,2
2843,26.11,3.89,24.06,29.44,5.38,97.94,2
2844,28.59,3.55,66.28,73.79,7.52,54.55,3
2845,30.84,3.8,132.52,175.04,42.52,5.88,2
2846,35.53,4.63,54.81,73.13,18.32,54.13,2
2847,39.48,3.74,24.81,28.5,3.69,70.03,3
2848,53.16,3.88,23.97,27.8,3.83,64.02,2
2849,47.66,3.78,25.09,29.33,4.24,55.72,2
2850,40.53,3.72,16.21,19.8,3.59,57.2,2
2851,33.02,3.89,13.52,16.96,3.44,62.16,2
2852,25.13,3.94,10.89,14.33,3.44,54.14,1
2853,22.9,3.63,10.48,14.01,3.53,49.75,1
2854,21.12,3.43,11.44,15.27,3.83,45.3,1
2855,16.92,3.31,10.83,14.71,3.88,43.14,1
2856,19.83,3.46,19.86,30.6,10.74,54.34,2
2857,21.81,3.64,9.06,13.97,4.91,67.24,2
2858,21.5,3.67,13.42,18.98,5.57,75.31,2
2859,27.69,3.5,11.27,16.64,5.37,91.69,2
2860,23.16,3.87,10.66,15.42,4.76,109.58,2
2861,18.76,3.46,13.03,18.36,5.34,104.35,2
2862,20.15,3.35,12.17,17.23,5.06,104.43,2
2863,22.0,3.14,14.83,21.12,6.28,100.51,2
2864,24.7,3.16,18.59,23.24,4.65,98.83,2
2865,24.01,3.42,57.59,62.26,4.67,56.0,2
2866,21.31,3.4,59.91,64.31,4.41,44.4,2
2867,25.63,3.48,27.7,32.14,4.44,54.16,2
2868,30.47,3.28,29.4,33.36,3.96,51.79,2
2869,26.39,3.33,16.34,19.79,3.44,62.46,1
2870,23.7,3.32,18.82,22.38,3.56,49.77,1
2871,24.48,3.1,24.76,28.37,3.61,37.9,1
2872,23.28,3.06,17.23,20.72,3.48,44.26,1
2873,19.52,3.24,12.4,15.81,3.41,52.03,1
2874,18.99,3.24,11.21,14.58,3.38,55.51,2
2875,18.24,3.3,12.11,15.54,3.43,60.0,2
2876,13.44,3.24,16.11,19.73,3.62,60.25,2
2877,12.1,3.46,20.43,25.93,5.5,60.58,2
2878,14.17,3.58,18.64,25.19,6.55,64.72,2
2879,19.82,3.04,11.78,17.58,5.8,88.93,2
2880,17.67,3.16,8.67,13.54,4.87,96.1,2
2881,14.72,3.19,11.15,17.47,6.32,90.91,2
2882,16.5,3.03,12.42,20.28,7.86,88.77,2
2883,16.55,3.13,9.11,13.99,4.88,88.64,2
2884,13.39,3.04,8.87,14.5,5.62,95.56,2
2885,12.99,3.1,12.68,18.33,5.64,98.26,2
2886,13.9,2.89,10.85,16.56,5.71,105.7,2
2887,15.36,3.18,18.27,22.63,4.36,110.09,2
2888,17.07,3.48,51.22,55.34,4.13,85.49,2
2889,23.43,3.59,63.51,67.83,4.32,63.21,2
2890,30.13,3.2,31.13,34.85,3.72,58.48,2
2891,26.27,2.91,29.7,33.76,4.06,62.06,1
2892,24.4,2.8,29.06,32.78,3.73,55.94,1
2893,21.13,2.86,20.6,24.37,3.77,59.75,1
2894,21.19,3.82,32.44,36.12,3.69,42.1,1
2895,21.62,3.79,39.6,43.26,3.66,31.24,1
2896,18.89,3.64,32.57,36.13,3.56,34.52,1
2897,23.06,3.17,20.66,24.22,3.56,41.09,1
2898,22.28,2.99,16.81,20.35,3.54,40.02,1
2899,24.74,3.2,18.98,24.74,5.77,36.56,1
2900,24.73,3.21,19.85,27.71,7.86,41.48,2
2901,19.01,3.25,7.98,12.2,4.22,93.78,2
2902,22.0,3.21,7.2,11.04,3.84,105.51,3
2903,18.76,2.88,8.86,13.38,4.52,135.51,3
2904,17.23,2.87,12.57,18.42,5.85,154.1,3
2905,14.57,2.8,14.51,20.2,5.69,158.41,3
2906,13.59,3.03,18.07,22.16,4.09,156.0,2
2907,11.9,2.87,75.84,85.28,9.44,68.95,3
2908,18.76,3.99,125.66,167.24,41.57,5.26,2
2909,28.83,3.24,71.76,81.27,9.51,33.94,2
2910,31.87,2.55,41.54,47.14,5.6,63.18,2
2911,31.64,2.94,34.42,39.21,4.79,58.04,2
2912,30.01,3.93,51.85,59.06,7.21,28.28,2
2913,35.27,3.99,71.04,100.08,29.04,9.32,2
2914,34.81,3.58,34.58,39.63,5.05,34.54,2
2915,29.34,3.17,12.54,16.03,3.49,45.94,2
