,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03
609,55.7,,,,
610,49.9,,,,
611,,,,,20.36
612,,7.77,,,
613,52.6,13.0,3.08,808.97,17.48
614,,,3.11,,
615,28.2,4.93,2.73,887.03,15.61
616,,3.56,,,
617,,,,,8.88
618,,10.16,,,
619,,,,,9.04
620,,,3.06,,
621,49.0,,,,
622,,,2.7,,
623,,,2.41,,
624,,,2.49,,
625,,,,707.34,
626,33.8,,,,
627,,,,,2.99
628,,,,1301.92,
629,,,,,11.85
630,,34.85,,,
631,,,,937.69,
632,,,,927.08,
633,71.9,,,,
634,61.8,,,,
635,,,,1118.47,
636,,,,967.07,
637,39.4,,,,
638,,,3.09,,
639,,,,1385.52,
640,,7.3,,,
641,,,,,2.04
642,,,,,1.59
643,,,,1166.94,
644,46.9,,,,
645,48.2,,,,
646,,24.95,,,
647,,,3.1,,
648,,,3.11,,
649,31.9,,,,
650,,,,885.78,
651,,,,,16.59
652,,9.04,,,
653,,,,835.62,
654,26.8,,,,
655,,3.53,,,
656,,,,,3.79
657,,,2.91,,
658,,,,,4.17
659,15.8,,,,
660,,5.39,,,
661,,3.83,,,
662,13.9,,,,
663,,,,,5.48
664,,,,681.02,
665,,,2.69,,
666,,,,748.76,
667,5.4,,,,
668,,,2.78,,
669,,,3.39,,
670,38.3,,,,
671,,19.03,,,
672,,,3.51,,
673,,,3.9,,
674,,,,995.37,
675,33.7,,,,
676,,8.05,,,
677,,,3.41,,
678,,,3.29,,
679,,,3.33,,
680,,,,,2.15
681,27.1,,,,
682,,,,,11.85
683,,,,,16.29
684,,2.07,,,
685,,,,,17.46
686,,,,756.95,
687,,,,,9.71
688,,,3.18,,
689,,,,,9.82
690,,0.41,,,
691,,1.43,,,
692,,,,,14.7
693,18.4,,,,
694,,,,,2.47
695,,,,1187.07,
696,,,,,18.28
697,,,4.24,,
698,,,,765.83,
699,,4.31,,,
700,,,3.87,,
701,,,,,4.71
702,,,3.14,,
703,30.9,,,,
704,29.0,3.64,3.36,1244.13,1.37
705,,,3.33,,
706,46.2,,,,
707,,7.23,,,
708,,,,,2.19
709,,,,,2.48
710,,,3.37,,
711,,,,,9.22
712,,,4.47,,
713,,,,,19.83
714,,,5.03,,
715,96.1,,,,
716,,,,,13.4
717,,,,1077.32,
718,83.2,,,,
719,,15.41,,,
720,,,3.83,,
721,,,,,3.7
722,47.0,,,,
723,,,4.36,,
724,,,4.22,,
725,,,,,2.09
726,,,,1057.81,
727,,,3.45,,
728,40.5,,,,
729,38.5,,,,
730,,,3.46,,
731,,,,,2.93
732,28.4,,,,
733,,,3.46,,
734,,,3.47,,
735,,,,955.47,
736,33.2,,,,
737,,,,664.79,
738,,,3.91,,
739,,14.84,,,
740,,16.12,,,
741,47.9,,,,
742,,,,792.49,
743,51.2,,,,
744,,13.83,,,
745,,,,812.01,
746,56.6,,,,
747,56.2,,,,
748,,,,1112.49,
749,,,4.47,,
750,52.5,,,,
751,,,,,2.1
752,,,,,4.96
753,,,,,13.96
754,,22.46,,,
755,,22.87,,,
756,,,,504.33,
757,,16.59,,,
758,,,,,28.8
759,,,5.47,,
760,,15.02,,,
761,,,,,19.92
762,,,5.47,,
763,,,,,4.12
764,,,,,4.56
765,,,,836.15,
766,,,,,9.18
767,,5.95,,,
768,,4.87,,,
769,20.1,,,,
770,,,,,17.08
771,,,3.15,,
772,,22.09,,,
773,,,,,25.3
774,,,,575.19,
775,,,,,9.86
776,9.9,,,,
777,,,2.5,,
778,,,,,12.65
779,,,2.64,,
780,,,,,16.09
781,12.3,,,,
782,13.5,,,,
783,,,3.16,,
784,,,,665.78,
785,,2.47,,,
786,,,,695.95,
787,,,3.02,,
788,,,,,16.06
789,,8.16,,,
790,,,,681.02,
791,,,2.98,,
792,28.6,,,,
793,27.3,,,,
794,,3.49,,,
795,,4.99,,,
796,,,,715.96,
797,,2.45,,,
798,23.7,,,,
799,,,2.65,,
800,16.1,,,,
801,,,,445.82,
802,,0.41,,,
803,,,,,11.45
804,,,3.16,,
805,15.2,,,,
806,20.2,,,,
807,31.1,,,,
808,,,12.06,,
809,,,,,4.64
810,,,,741.33,
811,20.2,,,,
812,,,,737.8,
813,,4.55,,,
814,26.8,4.78,11.6,562.38,7.62
815,,,,495.24,
816,,3.73,,,
817,,,10.65,,
818,20.2,,,,
819,,,11.5,,
820,31.8,,,,
821,,,11.64,,
822,25.2,12.57,12.17,489.72,17.62
823,24.4,,,,
824,26.3,,,,
825,27.4,7.22,11.91,965.48,7.44
826,,,,,4.11
827,,,,,4.35
828,23.9,,,,
829,,,,651.19,
830,,,11.68,,
831,27.5,4.82,10.61,1236.23,12.46
832,,,,717.4,
833,,,,847.65,
834,,,,916.82,
835,,,,905.48,
836,,11.55,,,
837,20.2,,,,
838,,,,785.47,
839,,6.01,,,
840,,6.31,,,
841,22.6,,,,
842,,,,,13.94
843,,3.74,,,
844,,,11.32,,
845,,,,,9.16
846,29.0,,,,
847,,,,,7.84
848,,,,1048.09,
849,,,,,12.85
850,,,10.21,,
851,14.7,,,,
852,,4.22,,,
853,,,,1061.15,
854,,,10.53,,
855,,10.68,,,
856,,,,769.6,
857,,,10.83,,
858,,,,766.25,
859,,,,714.56,
860,,,11.74,,
861,,,,645.83,
862,,,,876.58,
863,11.7,,,,
864,,,,1102.49,
