,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO,OUT
260,32.16,1.93,3.08,23.28,37.19,13.91,2
261,27.45,2.41,2.7,37.22,48.33,11.11,2
262,26.02,7.12,2.42,31.3,35.89,4.59,2
263,24.25,12.85,3.0,56.74,75.96,19.22,1
264,18.83,9.85,2.03,39.17,41.77,2.6,1
265,16.1,7.59,1.49,44.8,48.2,3.4,2
266,12.92,5.32,2.3,57.36,65.8,8.44,2
267,13.53,4.19,5.48,69.2,73.36,4.16,2
268,12.05,3.7,2.39,72.83,79.78,6.95,2
269,10.47,2.82,1.89,51.44,56.6,5.16,1
270,21.65,4.58,1.83,39.15,43.2,4.05,1
271,23.88,6.79,2.52,43.56,47.59,4.03,1
272,18.66,6.98,1.68,46.14,50.9,4.76,1
273,19.05,8.06,1.79,35.76,38.01,2.25,1
274,18.92,6.12,2.9,34.71,37.43,2.72,1
275,15.42,5.54,1.94,34.85,39.55,4.7,1
276,14.36,4.63,1.69,38.49,42.73,4.24,2
277,10.13,3.66,1.96,52.64,60.95,8.31,2
278,7.56,3.6,4.09,56.48,68.92,12.44,2
279,5.95,3.1,4.04,66.06,94.26,28.2,1
280,6.96,2.48,3.77,46.32,65.46,19.14,1
281,12.88,4.34,7.6,33.95,45.22,11.27,1
282,13.73,7.45,7.92,30.62,40.05,9.43,1
283,9.94,7.49,7.06,48.75,65.77,17.02,2
284,21.66,9.32,3.76,75.67,93.98,18.31,2
285,25.1,10.17,3.12,65.85,78.32,12.47,2
286,25.73,8.18,3.38,74.69,95.66,20.97,2
287,24.6,6.61,3.8,50.57,57.83,7.26,1
288,17.78,5.43,3.65,39.62,42.38,2.76,1
289,12.93,4.1,3.34,49.5,56.63,7.13,1
290,3.06,2.09,1.72,31.02,36.2,5.17,1
291,3.78,1.46,1.73,30.9,36.4,5.5,1
292,6.21,1.22,1.69,29.4,34.18,4.78,1
293,4.78,1.16,2.25,29.44,33.81,4.36,1
294,3.4,0.98,1.78,30.78,35.05,4.27,1
295,3.28,1.34,7.32,40.7,45.26,4.57,1
296,3.19,0.94,5.51,36.07,42.23,6.16,1
297,2.34,1.03,2.05,26.52,31.18,4.65,1
298,4.71,1.32,1.41,23.41,27.18,3.77,1
299,9.27,0.93,1.57,30.51,34.58,4.08,1
300,6.81,0.65,1.24,40.41,48.37,7.96,2
301,6.62,0.45,1.19,81.93,98.93,17.0,3
302,9.99,0.72,1.39,114.29,143.86,29.58,1
303,21.41,1.16,1.44,26.64,31.53,4.89,1
304,21.09,1.07,1.98,22.02,27.9,5.88,1
305,11.24,2.35,2.15,20.26,26.04,5.79,1
306,9.27,2.35,1.31,21.91,26.43,4.52,1
307,6.49,1.65,0.76,19.56,20.84,1.28,1
308,1.9,0.73,0.21,34.94,36.85,1.91,1
309,1.33,1.04,0.19,31.07,32.59,1.52,1
310,0.93,0.73,0.16,31.19,32.48,1.29,1
311,0.88,0.51,0.19,34.66,34.69,0.03,1
312,1.3,0.36,0.32,38.41,38.78,0.38,2
313,46.23,1.92,3.63,86.61,136.04,49.43,3
314,71.22,1.8,4.22,54.71,79.09,24.37,1
315,24.73,8.92,2.93,39.07,55.72,16.65,2
316,25.01,7.61,1.0,28.68,34.15,5.47,1
317,17.75,9.73,1.15,46.95,60.38,13.43,2
318,13.04,10.73,1.07,50.5,62.24,11.74,2
319,5.81,4.64,1.04,55.25,63.85,8.6,3
320,36.21,10.36,2.55,162.51,271.97,109.46,3
321,46.92,12.8,3.85,144.21,234.05,89.84,2
322,28.28,9.02,0.8,31.69,41.92,10.23,1
323,22.44,7.06,0.8,27.23,36.96,9.73,1
324,21.85,5.12,0.7,28.36,36.58,8.22,2
325,18.59,3.96,0.66,58.71,73.1,14.38,2
326,13.62,2.93,0.9,77.15,94.32,17.17,2
327,11.1,2.05,0.9,78.2,89.67,11.46,2
328,12.27,1.73,0.99,83.6,96.17,12.57,3
329,14.09,1.67,1.91,108.51,122.59,14.08,2
330,17.96,1.2,1.54,74.19,83.09,8.9,2
331,19.65,1.39,1.6,90.53,102.42,11.89,2
332,21.62,1.78,1.35,74.15,85.57,11.41,2
333,21.59,1.32,1.48,64.36,70.6,6.24,1
334,16.54,1.09,1.11,48.0,53.79,5.79,1
335,14.09,0.84,1.94,34.3,39.77,5.47,1
