,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO,OUT
353,28.34,1.52,61.99,68.58,6.59,2
354,36.07,1.96,66.63,74.54,7.91,2
355,31.39,2.1,77.22,98.6,21.38,3
356,55.02,2.44,76.29,93.44,17.15,2
357,47.22,2.48,77.44,92.25,14.81,2
358,38.51,2.79,73.2,87.33,14.13,2
359,40.09,2.28,49.06,53.37,4.31,2
360,45.19,1.11,17.13,17.96,0.83,2
361,33.09,0.9,14.91,15.77,0.86,2
362,25.08,0.78,13.32,13.67,0.35,1
363,17.58,1.07,23.04,24.17,1.13,1
364,20.48,0.96,18.8,20.14,1.34,1
365,18.13,0.98,17.59,18.89,1.3,1
366,11.01,0.77,11.92,12.59,0.67,1
367,20.37,1.04,12.75,15.07,2.32,1
368,15.35,1.25,14.53,17.12,2.59,1
369,23.0,1.37,18.01,20.67,2.66,1
370,16.57,1.37,20.68,22.66,1.98,1
371,15.36,1.08,20.15,21.15,1.0,1
372,11.67,0.96,33.47,35.37,1.9,1
373,8.18,0.94,33.35,34.66,1.31,1
374,14.93,1.11,35.34,36.29,0.95,2
375,33.84,1.1,57.84,61.71,3.87,2
376,23.95,1.09,54.66,61.84,7.18,2
377,36.15,1.14,51.88,54.53,2.65,2
378,25.81,1.35,52.72,55.51,2.79,2
379,27.78,1.72,43.69,46.62,2.93,2
380,26.28,1.37,48.85,50.61,1.76,2
381,37.99,1.95,42.12,43.64,1.52,2
382,30.02,1.97,42.01,43.24,1.23,2
383,37.29,1.93,42.01,43.21,1.2,2
384,39.52,1.83,55.81,58.59,2.78,2
385,29.26,1.83,62.65,75.97,13.32,2
386,35.01,2.61,86.89,132.56,45.67,2
387,37.34,2.95,74.36,110.82,36.46,2
388,41.91,2.56,64.18,92.7,28.52,3
389,52.5,4.46,53.21,73.55,20.34,2
390,49.61,3.41,42.53,59.32,16.79,2
391,34.87,3.3,31.23,42.6,11.37,2
392,42.5,2.31,18.27,26.31,8.04,2
393,44.12,2.45,25.23,33.6,8.37,2
394,35.59,2.54,34.0,42.77,8.77,2
395,35.6,1.74,36.33,44.62,8.29,2
396,25.04,2.34,56.94,68.32,11.38,2
397,30.49,3.15,69.42,82.89,13.47,2
398,25.06,3.19,72.42,86.95,14.53,2
399,25.98,3.11,62.19,72.18,9.99,2
400,35.52,3.53,96.54,145.21,48.67,2
401,25.37,3.26,73.81,150.39,76.58,3
402,38.0,3.19,128.72,227.9,99.18,3
403,40.03,3.41,101.5,160.27,58.77,3
404,36.72,3.16,105.56,171.58,66.02,2
405,45.45,2.49,82.44,111.42,28.98,2
406,33.31,1.95,85.81,126.8,40.99,2
407,25.12,2.26,63.64,94.37,30.73,2
408,32.96,2.93,64.51,141.15,76.64,3
409,24.12,3.6,118.03,216.1,98.07,3
410,49.13,5.3,171.82,355.73,183.91,3
411,81.78,5.73,129.33,237.67,108.34,3
412,75.33,4.45,79.83,125.45,45.62,3
413,71.11,3.87,46.55,68.11,21.56,3
414,57.78,3.65,26.19,40.59,14.4,3
415,50.29,3.21,22.86,32.24,9.38,2
416,36.2,2.74,19.52,28.24,8.72,2
417,33.64,2.38,29.76,39.15,9.39,2
418,30.4,2.42,40.53,48.47,7.94,2
419,23.61,2.5,54.86,63.15,8.29,2
