,S15_PM10,S15_SO2,S15_NO2,S15_NOX,S15_NO,S15_O3
3522,2.72,3.78,33.51,38.39,4.88,39.12
3523,1.91,,,,,
3524,1.45,,,,,
3525,,,31.18,,,
3526,,,,,4.28,
3527,,,,,,32.61
3528,,,,,3.93,
3529,,,10.65,,,
3530,,,,22.44,,
3531,,3.4,,,,
3532,,,37.78,,,
3533,,,,,,30.84
3534,,,22.05,,,
3535,,,,,8.24,
3536,,1.8,,,,
3537,11.35,,,,,
3538,11.4,,,,,
3539,,,,26.19,,
3540,,,,,12.19,
3541,,3.66,,,,
3542,8.8,,,,,
3543,,4.37,,,,
3544,,,,,,2.35
3545,,5.8,,,,
3546,80.26,,,,,
3547,,,,317.4,,
3548,,,114.81,,,
3549,73.29,,,,,
3550,,,,147.49,,
3551,34.88,,,,,
3552,,,,110.86,,
3553,,4.28,,,,
3554,24.83,,,,,
3555,,,,,123.8,
3556,,7.1,,,,
3557,,,,,,57.82
3558,,4.19,,,,
3559,,6.07,,,,
3560,,,16.05,,,
3561,,7.76,,,,
3562,26.61,,,,,
3563,,,,,11.59,
3564,,,,126.16,,
3565,,,170.08,,,
3566,54.84,8.79,172.85,330.19,157.34,12.66
3567,,,,,153.62,
3568,94.02,,,,,
3569,96.27,,,,,
3570,82.26,,,,,
3571,,6.36,,,,
3572,62.55,,,,,
3573,,,,108.31,,
3574,,4.5,,,,
3575,40.41,,,,,
3576,,4.42,,,,
3577,34.47,,,,,
3578,,,,,,6.44
3579,,,81.66,,,
3580,,,,,,26.04
3581,,,,,18.45,
3582,75.88,,,,,
3583,,6.08,,,,
3584,,,,25.03,,
3585,45.07,,,,,
3586,,,17.28,,,
3587,,,56.07,,,
3588,29.69,,,,,
3589,,,,,,6.48
3590,,6.25,,,,
3591,,,95.6,,,
3592,,,,,,32.32
3593,,,,107.52,,
3594,59.49,,,,,
3595,,,,147.29,,
3596,58.57,,,,,
3597,,,,,5.68,
3598,43.43,,,,,
3599,,,,,,25.19
3600,,,,,5.27,
3601,,,,34.91,,
3602,,5.04,,,,
3603,29.85,,,,,
3604,,,,,,39.88
3605,,,,38.42,,
3606,,,,24.88,,
3607,44.93,,,,,
3608,,,13.58,,,
3609,,4.31,,,,
3610,,,,,5.34,
3611,,,,,,60.2
3612,,4.42,,,,
3613,43.41,,,,,
3614,,,,,,3.39
3615,,6.3,,,,
3616,,,,,,3.23
3617,,,,,80.44,
3618,,,,,51.43,
3619,,,,,81.07,
3620,,4.51,,,,
3621,,4.62,,,,
3622,,,,72.95,,
3623,30.97,,,,,
3624,,,,,,2.79
3625,,,,228.88,,
3626,,,,324.2,,
3627,,,,,30.68,
3628,70.05,,,,,
3629,,,24.16,,,
3630,,,,34.24,,
3631,,11.23,,,,
3632,,,,25.33,,
3633,,11.77,,,,
3634,,,,,,61.69
3635,34.96,,,,,
3636,,,,,10.38,
3637,20.33,,,,,
3638,,,,,,47.69
3639,,,56.95,,,
3640,29.73,,,,,
3641,,,,,10.35,
3642,,,46.25,,,
3643,,,51.77,,,
3644,,,,,6.62,
3645,,,42.8,,,
3646,,,,44.57,,
3647,,,,37.55,,
3648,,,,,,19.29
3649,25.05,,,,,
3650,,,,,14.68,
3651,,,75.39,,,
3652,27.22,,,,,
3653,,,,124.38,,
3654,,,,,28.45,
3655,,,26.32,,,
3656,,,,,18.61,
3657,,,,,10.7,
3658,,,,,,7.23
3659,,,,,,7.58
3660,,,,,40.14,
3661,,,,90.14,,
3662,14.52,,,,,
3663,,,,42.11,,
3664,,,,,,29.77
3665,,,,32.17,,
3666,,,,,,35.56
3667,,,,34.41,,
3668,,,,28.75,,
3669,9.46,,,,,
3670,,5.4,,,,
3671,,,125.21,,,
3672,,,,,167.88,
3673,,,,,,3.16
3674,,4.38,,,,
3675,,,,168.96,,
3676,,,,122.17,,
3677,,,,,22.96,
3678,,,,,26.45,
3679,18.2,,,,,
3680,12.9,,,,,
3681,,,,127.94,,
3682,,,,,79.14,
3683,,,,187.94,,
3684,,,,38.26,,
3685,,,,,,38.7
3686,,,,23.88,,
3687,,,,23.33,,
3688,,4.9,,,,
3689,,,,,,54.09
3690,,,,,,51.88
3691,,4.89,,,,
3692,,,185.75,,,
3693,,,237.0,,,
3694,,,187.28,,,
3695,,,142.7,,,
3696,,,,,,2.77
3697,68.84,,,,,
3698,,5.32,,,,
3699,,4.77,,,,
3700,,4.63,,,,
3701,,,,,44.57,
3702,,,,,49.6,
3703,,,,127.62,,
3704,23.4,,,,,
3705,,,,265.86,,
3706,23.66,,,,,
3707,,6.15,,,,
3708,55.12,,,,,
3709,,,,40.48,,
3710,,,20.45,,,
3711,,,24.07,,,
3712,33.32,,,,,
3713,31.37,,,,,
3714,,,,,14.78,
3715,,8.28,,,,
3716,,,193.42,,,
3717,,,,391.02,,
3718,,7.92,,,,
3719,,7.6,,,,
3720,,,,316.22,,
3721,,,,224.42,,
3722,80.33,,,,,
3723,78.93,,,,,
3724,66.62,,,,,
3725,,,,174.54,,
3726,,,,,,2.78
3727,,,,,13.76,
3728,48.88,,,,,
3729,,,,,,3.08
3730,,,,,118.69,
3731,,,,,,11.49
3732,,8.43,,,,
3733,,8.61,,,,
3734,,,43.51,,,
3735,70.87,,,,,
3736,,,20.35,,,
3737,,,,,,52.86
3738,,,28.17,,,
3739,,,,163.34,,
3740,,7.56,,,,
3741,,,,,216.32,
3742,,,,,185.63,
3743,,,163.02,,,
3744,,7.9,,,,
3745,,,,,154.72,
3746,,6.13,,,,
3747,,5.84,,,,
3748,,6.05,,,,
3749,,,,,,2.59
3750,,4.93,,,,
3751,,,,,54.42,
3752,,,79.58,,,
3753,,,,331.12,,
3754,,,,,235.26,
3755,,,80.74,,,
3756,,,,,,3.61
3757,,,,,,3.94
3758,,,,,9.12,
3759,,4.98,,,,
3760,,,,,,47.08
3761,,,,,,21.7
3762,,,134.62,,,
3763,124.85,,,,,
3764,,,,,,3.24
3765,,,,463.47,,
3766,140.28,,,,,
3767,,,,,173.43,
3768,,7.7,,,,
3769,,,,,65.74,
3770,98.62,,,,,
3771,,,,,,13.07
3772,,,31.27,,,
3773,,,,44.9,,
3774,,,,,27.28,
3775,,5.29,,,,
3776,49.38,,,,,
3777,85.97,,,,,
3778,,,26.97,,,
3779,,5.16,,,,
3780,75.38,,,,,
3781,,4.54,,,,
3782,,,28.04,,,
3783,,,,,,46.31
3784,,,,,12.89,
3785,,4.59,,,,
3786,,,250.69,,,
3787,,,,,345.58,
3788,,,,741.65,,
3789,,7.94,,,,
3790,129.37,,,,,
3791,103.18,,,,,
3792,,,,164.94,,
3793,,,,,58.76,
3794,,,,109.65,,
3795,,,,155.28,,
3796,,,,,23.38,
3797,,,40.97,,,
3798,37.96,,,,,
3799,,,,,89.42,
3800,,5.35,,,,
3801,56.11,,,,,
3802,,,19.54,,,
3803,,,14.5,,,
3804,,,,,,48.08
3805,,4.28,,,,
3806,,,,,9.03,
3807,40.84,,,,,
3808,,,,,,38.03
3809,,,,79.73,,
3810,,4.44,,,,
3811,,,,294.59,,
3812,,,,234.0,,
3813,,,,141.6,,
3814,,,78.39,,,
3815,,,,106.08,,
3816,,,,,24.13,
3817,,,,,,6.21
3818,,3.74,,,,
3819,,,,,12.15,
3820,,4.15,,,,
3821,,,59.32,,,
3822,,4.03,,,,
3823,,,97.56,,,
3824,,,,,,8.34
3825,,,,47.82,,
3826,,,,,,26.52
3827,,4.56,,,,
3828,,,12.72,,,
3829,,,,21.5,,
3830,,,,25.15,,
3831,,,17.19,,,
3832,61.98,,,,,
3833,,,,,,9.49
3834,,,,,73.94,
3835,,,118.98,,,
3836,,,,,78.99,
3837,,,,,,2.8
3838,92.41,,,,,
3839,,,,284.22,,
3840,,,,175.91,,
3841,,,,188.94,,
3842,,,,,42.48,
3843,76.98,,,,,
3844,,,50.5,,,
3845,,3.86,,,,
3846,,,,108.54,,
3847,,,,,54.57,
3848,,,,117.93,,
3849,80.6,5.44,42.98,66.38,23.4,17.26
3850,,6.19,,,,
3851,61.77,,,,,
3852,,,,19.98,,
3853,,,11.7,,,
3854,,,,,6.14,
3855,47.61,,,,,
3856,,,,54.99,,
3857,,,59.64,,,
3858,57.48,,,,,
3859,,6.69,,,,
3860,,,,211.49,,
3861,,,,,,2.77
3862,,6.25,,,,
3863,,,,,,2.86
3864,,,,,,2.61
3865,,,23.43,,,
3866,,,,,9.79,
3867,,,,106.71,,
3868,70.71,,,,,
3869,,,,31.02,,
3870,,,,,7.41,
3871,,,14.32,,,
3872,,,15.27,,,
3873,,,,,8.53,
3874,,,,,,19.4
3875,,,,,229.51,
3876,,6.85,,,,
3877,,,,,,3.34
3878,110.24,,,,,
3879,,,,61.94,,
3880,,,45.96,,,
3881,,4.6,,,,
3882,,,,52.16,,
3883,,,,,,12.11
3884,31.85,,,,,
3885,,,,,,38.19
3886,,,,21.47,,
3887,,,,,11.08,
3888,,,49.94,,,
3889,180.77,,,,,
3890,,,,,,3.33
3891,,6.27,,,,
3892,,,,,,3.06
3893,,,,,153.63,
3894,114.34,,,,,
3895,,,,272.8,,
3896,,,,276.77,,
3897,,,,,,2.58
3898,,,,172.23,,
3899,,,,,,2.4
3900,,,,,,21.92
3901,54.87,,,,,
3902,,,,,,12.67
3903,60.9,,,,,
3904,94.8,,,,,
3905,,,,,,21.7
3906,,,,,,24.71
3907,,,,,6.62,
3908,,,,64.53,,
3909,,,,49.86,,
3910,,,,,,16.04
3911,,,33.63,,,
3912,,,21.93,,,
3913,,,,,,19.84
3914,,3.47,,,,
3915,,,,67.73,,
3916,,,,,79.19,
3917,,,,,,4.1
3918,,3.78,,,,
3919,,,,,,16.7
3920,,3.66,,,,
3921,,,,,,32.48
3922,14.71,,,,,
3923,,4.14,,,,
3924,,4.17,,,,
3925,,,164.87,,,
3926,,,194.39,,,
3927,,4.94,,,,
3928,,5.03,,,,
3929,,4.54,,,,
3930,,,137.13,,,
3931,,,,,,2.71
3932,,,65.83,,,
3933,,,,,8.12,
3934,,,30.66,,,
3935,,,,,8.1,
3936,29.11,,,,,
3937,22.12,,,,,
3938,,,,142.45,,
3939,23.1,,,,,
3940,,,,,,10.23
3941,,,,,,25.19
3942,43.63,,,,,
3943,39.22,,,,,
3944,,4.36,,,,
3945,,,,,8.51,
3946,,,,,9.11,
3947,34.68,,,,,
3948,,,,78.39,,
3949,,,,,,6.27
3950,56.6,,,,,
3951,,,,68.78,,
3952,,,,,43.45,
3953,52.49,,,,,
3954,,,,,,11.2
3955,,,59.81,,,
3956,,,,,9.75,
3957,,,,,6.32,
3958,35.66,,,,,
3959,,,,17.62,,
3960,,,,14.82,,
3961,,3.76,,,,
3962,,,,,29.32,
3963,,,,32.23,,
3964,31.72,3.78,17.92,26.22,8.3,25.63
3965,35.85,,,,,
3966,,3.78,,,,
3967,30.71,,,,,
3968,,,,,7.69,
3969,,,,,8.27,
3970,34.84,,,,,
3971,,,,29.5,,
3972,,,,,,25.51
3973,,,,,12.71,
3974,,3.97,,,,
3975,,,28.01,,,
3976,,,,,,16.52
3977,,,,,10.42,
3978,,,,24.08,,
3979,,,16.84,,,
3980,,,10.99,,,
3981,,3.54,,,,
3982,,,,20.94,,
3983,90.68,,,,,
3984,87.43,,,,,
3985,,,,23.34,,
3986,,,39.17,,,
3987,,,,,,26.21
3988,98.82,,,,,
3989,,4.55,,,,
3990,,,,,,40.34
3991,76.69,,,,,
3992,,,,,,42.08
3993,193.37,,,,,
3994,,,25.85,,,
3995,,,35.54,,,
3996,28.04,,,,,
3997,,,,,,3.11
3998,,,175.98,,,
3999,,,,,120.32,
4000,,,,,,2.87
4001,,,122.35,,,
4002,45.51,,,,,
4003,,,,,,2.59
4004,,,76.51,,,
4005,,,,,55.27,
4006,,,,190.46,,
4007,,,70.6,,,
4008,,,,139.15,,
4009,,,,,113.1,
4010,,,,184.97,,
4011,,,,,,9.16
4012,45.36,,,,,
4013,46.21,,,,,
4014,,7.01,,,,
4015,45.02,,,,,
4016,,6.32,,,,
4017,26.84,,,,,
4018,,,,34.35,,
4019,,,,48.37,,
4020,20.6,,,,,
4021,,,,162.38,,
4022,,,114.1,,,
4023,39.14,,,,,
4024,38.07,,,,,
4025,,,128.69,,,
4026,,,,244.54,,
4027,,,,164.32,,
4028,29.16,,,,,
4029,30.97,,,,,
4030,,,42.64,,,
4031,22.55,,,,,
4032,,,,,,2.66
4033,,,,226.79,,
4034,,6.42,,,,
4035,,,,32.78,,
4036,,,,,,41.92
4037,,,,22.96,,
4038,,,,,8.54,
4039,,,,,8.4,
4040,,,,,17.6,
4041,39.47,,,,,
4042,,,236.91,,,
4043,,,,,,3.59
4044,98.78,,,,,
4045,,,,,,3.24
4046,,,144.56,,,
4047,,,,272.13,,
4048,,5.7,,,,
4049,,,,174.87,,
4050,,,,,,2.46
4051,,,71.51,,,
4052,,,,92.51,,
4053,40.26,4.07,53.79,72.8,19.02,3.64
4054,,,,,,2.61
4055,,,,,,2.79
4056,,4.86,,,,
4057,,,,,,9.24
4058,,,,,9.12,
4059,37.05,,,,,
4060,,3.72,,,,
4061,,,,47.77,,
4062,,,,35.37,,
4063,,,,43.98,,
4064,,,,,,22.91
4065,38.52,,,,,
4066,44.5,,,,,
4067,37.18,,,,,
4068,,,,17.4,,
4069,,,,,5.98,
4070,,,,,,29.28
4071,,,,,4.54,
4072,,,,,5.35,
4073,,,,12.7,,
4074,,3.89,,,,
4075,26.78,,,,,
4076,,,,21.9,,
4077,,,,,,22.9
4078,12.06,,,,,
4079,8.98,,,,,
4080,,,,,12.25,
4081,,,,,11.49,
4082,,,,35.31,,
4083,,,,,,39.55
4084,,,,,,39.07
4085,,,,35.08,,
4086,,,42.94,,,
4087,,,,68.75,,
4088,2.65,,,,,
4089,,4.29,,,,
4090,,,,69.48,,
4091,4.85,,,,,
4092,,,,,6.53,
4093,,,53.6,,,
4094,,,,48.09,,
4095,6.3,,,,,
4096,,,28.9,,,
4097,,,,,5.4,
4098,,,65.76,,,
4099,5.07,,,,,
4100,,4.38,,,,
4101,5.87,,,,,
4102,15.71,,,,,
4103,,,,,9.05,
4104,,,,,10.22,
4105,,,29.54,,,
4106,26.98,,,,,
4107,,,47.98,,,
4108,37.81,,,,,
4109,,,,,,4.12
4110,,,,117.72,,
4111,,,,,,21.92
4112,,,52.4,,,
4113,,3.88,,,,
4114,,,,,6.84,
4115,,,,,7.86,
4116,,3.22,,,,
4117,,3.22,,,,
4118,6.2,,,,,
4119,,,,,5.33,
4120,,,14.74,,,
4121,,,23.34,,,
4122,,,,,18.6,
4123,,3.43,,,,
4124,,,,23.93,,
4125,,,,,,42.7
4126,,,14.38,,,
4127,,,16.94,,,
4128,,3.57,,,,
4129,,,,,,51.28
4130,,,,,11.87,
4131,,,21.55,,,
4132,,,,55.74,,
4133,,4.25,,,,
4134,,,,,,4.49
4135,50.52,,,,,
4136,,4.31,,,,
4137,53.62,,,,,
4138,,,,,185.1,
4139,55.4,,,,,
4140,,,110.55,,,
4141,,,,,127.99,
4142,,3.63,,,,
4143,,3.39,,,,
4144,,,,95.88,,
4145,,,,65.47,,
4146,,3.96,,,,
4147,,,,305.79,,
4148,,,,,,6.95
4149,,,29.28,,,
4150,,,20.11,,,
4151,,,22.06,,,
4152,,,,30.8,,
4153,,,,,12.26,
4154,,,,,,51.21
4155,,,,,,38.58
4156,11.83,,,,,
4157,,,191.81,,,
4158,49.59,,,,,
4159,,,,250.38,,
4160,,,,172.61,,
4161,57.19,,,,,
4162,,,,,79.73,
4163,42.88,,,,,
4164,,3.98,,,,
4165,,,,,148.19,
4166,,,,,93.56,
4167,35.82,,,,,
4168,,,,,,3.26
4169,26.62,,,,,
4170,,,,,154.81,
4171,,4.63,,,,
4172,,,33.43,,,
4173,,,47.28,,,
4174,,,,49.98,,
4175,,,,33.64,,
4176,,,,43.51,,
4177,,,,,,31.39
4178,,,,,,43.6
4179,,,,,,36.1
4180,,,,,12.46,
4181,,,51.81,,,
4182,,,,38.09,,
4183,,,,,,19.95
4184,,,,,21.94,
4185,,,18.32,,,
4186,,,,,,46.82
4187,11.79,3.66,35.13,47.0,11.86,38.4
4188,,,,,11.7,
4189,,,,98.85,,
4190,,,84.51,,,
4191,,3.75,,,,
4192,,,,211.03,,
4193,,4.31,,,,
4194,,4.32,,,,
4195,,,,,,4.78
4196,,,,74.63,,
4197,,,,73.58,,
4198,,,,,40.18,
4199,,3.95,,,,
4200,,,,,113.67,
4201,12.93,,,,,
4202,,,,,27.3,
4203,,,,,,21.14
4204,24.74,,,,,
4205,,5.38,,,,
4206,,,,,10.44,
4207,,,,,,36.49
4208,,,,33.73,,
4209,,,,35.21,,
4210,,3.44,,,,
4211,,3.34,,,,
4212,,,42.28,,,
4213,,,,,,43.13
4214,,,,,8.25,
4215,,,,,5.79,
4216,,,11.08,,,
4217,6.23,,,,,
4218,,,,,,27.58
4219,,6.0,,,,
4220,5.54,,,,,
4221,,7.36,,,,
4222,5.32,,,,,
4223,,,,27.53,,
4224,,,,,10.05,
4225,6.93,,,,,
4226,,5.07,,,,
4227,,,,31.55,,
4228,,4.48,,,,
4229,,,,23.69,,
4230,,,,,,39.99
4231,,,,34.67,,
4232,,,,,,37.24
4233,,3.45,,,,
4234,,3.46,,,,
4235,,,,,,34.57
4236,,,,,,33.84
4237,5.46,,,,,
4238,5.47,,,,,
4239,,3.34,,,,
4240,,,,,5.16,
4241,,,10.32,,,
4242,,,,,4.78,
4243,,,,11.09,,
4244,5.06,,,,,
4245,,,22.94,,,
4246,,,23.15,,,
4247,,,,,32.18,
4248,,5.02,,,,
4249,,,,,,25.95
4250,,,,,,26.34
4251,,,,31.74,,
4252,,,,,,22.68
4253,,,,55.08,,
4254,,5.31,,,,
4255,,,,47.73,,
4256,,,,,8.21,
4257,,4.97,,,,
4258,,,,66.76,,
4259,14.08,,,,,
4260,,,,93.32,,
4261,,,,,,3.28
4262,,,59.07,,,
4263,,,,118.76,,
4264,,3.75,,,,
4265,,,,201.6,,
4266,,,,123.52,,
4267,,4.03,,,,
4268,,,,,,3.85
4269,,,,158.31,,
4270,,,,,,18.46
4271,,5.81,,,,
4272,,,,,,27.2
4273,44.62,,,,,
4274,,4.71,,,,
4275,35.71,,,,,
4276,,3.25,,,,
4277,39.1,,,,,
4278,57.16,,,,,
4279,,,,,,7.48
4280,,,,,,5.7
4281,,2.22,,,,
4282,,,,,25.63,
4283,35.59,,,,,
4284,,5.87,,,,
4285,,,66.53,,,
4286,,,,106.77,,
4287,,5.23,,,,
4288,,,,115.67,,
4289,,,,181.51,,
4290,,,79.93,,,
4291,,,,,69.63,
4292,,,,,,16.16
4293,,,,,,28.48
4294,,10.92,,,,
4295,,,,,15.92,
4296,,,30.56,,,
4297,,,,,12.64,
4298,,,,,,33.91
4299,,,,,27.23,
4300,,,175.67,,,
4301,,,,408.96,,
4302,,,,,90.71,
4303,81.89,,,,,
4304,,,78.6,,,
4305,75.87,,,,,
4306,71.36,,,,,
4307,60.82,,,,,
4308,,,,71.02,,
4309,,,46.73,,,
4310,,4.54,,,,
4311,,,,148.1,,
4312,,,,,,3.55
4313,,,,,80.41,
4314,,,150.27,,,
4315,,5.81,,,,
4316,,,211.6,,,
4317,,,,,20.69,
4318,,,38.72,,,
4319,,11.1,,,,
4320,,,,27.95,,
4321,,7.73,,,,
4322,,7.16,,,,
4323,,,,39.75,,
4324,,,,104.32,,
4325,12.69,,,,,
4326,,,63.71,,,
4327,,,,,33.07,
4328,29.16,,,,,
4329,,,,,189.67,
4330,,,,361.37,,
4331,,5.15,,,,
4332,,,,,178.84,
4333,,,,,,3.11
4334,,,87.38,,,
4335,,,90.79,,,
4336,,,,,,3.3
4337,,,,147.63,,
4338,,,,,50.4,
4339,,,,,118.46,
4340,,4.42,,,,
4341,,,,,,15.25
4342,,,,31.58,,
4343,,,21.56,,,
4344,,7.05,,,,
4345,,,,,18.12,
4346,25.48,,,,,
4347,,6.53,,,,
4348,,,168.36,,,
4349,,7.1,,,,
4350,104.92,,,,,
4351,,,,,,4.41
4352,,,117.29,,,
4353,,,,,,13.99
4354,,,,64.39,,
4355,,,,,27.35,
4356,,,,110.44,,
4357,34.3,,,,,
4358,,,,,,5.79
4359,21.35,,,,,
4360,,,,,,8.86
4361,,3.38,,,,
4362,15.84,,,,,
4363,,,34.52,,,
4364,,,,61.34,,
4365,,,24.93,,,
4366,,3.59,,,,
4367,,,,,,38.42
4368,,,,,10.96,
4369,,3.55,,,,
4370,,,23.08,,,
4371,,,,,9.3,
4372,8.37,,,,,
4373,,3.03,,,,
4374,10.05,,,,,
4375,,,16.87,,,
4376,,2.83,,,,
4377,,,,18.73,,
4378,7.82,3.2,9.18,15.12,5.94,37.43
4379,7.72,,,,,
4380,,3.65,,,,
4381,8.77,,,,,
4382,,,,,4.13,
4383,,,,13.43,,
4384,,3.85,,,,
4385,8.45,,,,,
4386,8.09,,,,,
4387,,,,,,9.97
4388,7.86,,,,,
4389,,,,,7.04,
4390,,,,,14.36,
4391,,3.88,,,,
4392,6.12,,,,,
4393,,,,,11.44,
4394,,,,24.43,,
4395,,,,,8.5,
4396,,,,,9.65,
4397,,,,,,17.02
4398,,,,,7.63,
4399,,3.78,,,,
4400,,,15.06,,,
4401,,,,,,20.85
4402,,,,,5.4,
4403,,,,12.46,,
4404,,,,12.68,,
4405,,,,,4.78,
4406,,,,,,10.69
4407,5.55,,,,,
4408,,,,,13.99,
4409,,,,,20.63,
4410,,,,25.71,,
4411,5.19,,,,,
4412,,,,22.0,,
4413,5.1,,,,,
4414,5.07,,,,,
4415,5.7,10.18,18.74,29.38,10.64,43.88
4416,,,,28.27,,
4417,5.88,,,,,
4418,,8.3,,,,
4419,,,31.29,,,
4420,,,,,,26.66
4421,6.08,7.59,43.12,57.53,14.41,20.68
4422,,,39.18,,,
4423,,,43.65,,,
4424,,,,,12.89,
4425,,,,,8.39,
4426,,,52.27,,,
4427,16.32,,,,,
4428,15.19,,,,,
4429,,3.53,,,,
4430,19.17,,,,,
4431,,,64.49,,,
4432,,,122.16,,,
4433,,,,,86.41,
4434,,,45.06,,,
4435,,5.26,,,,
4436,30.13,,,,,
4437,22.3,,,,,
4438,,,,,12.38,
4439,,5.07,,,,
4440,,,24.06,,,
4441,,4.47,,,,
4442,,5.18,,,,
4443,,,,,,5.66
4444,,,44.51,,,
4445,,,,,13.93,
4446,,,,50.05,,
4447,19.61,,,,,
4448,,5.18,,,,
4449,,,15.16,,,
4450,,,,,,41.46
4451,9.58,,,,,
4452,,,,,,34.53
4453,,,,,,34.19
4454,,,,,,33.51
4455,4.32,,,,,
4456,,,,,8.67,
4457,,4.26,,,,
4458,,,27.19,,,
4459,,,,31.74,,
4460,,,25.64,,,
4461,,4.54,,,,
4462,,,,,10.08,
4463,,,,36.43,,
4464,,,26.44,,,
4465,,,,,13.26,
4466,16.8,,,,,
4467,12.67,,,,,
4468,,,,34.36,,
4469,,,,31.33,,
4470,,,,38.18,,
4471,,,21.38,,,
4472,,,,,6.84,
4473,,3.25,,,,
4474,2.0,,,,,
4475,,,,,6.14,
4476,,,,,4.55,
4477,,,,,6.13,
4478,1.38,,,,,
4479,,3.36,,,,
4480,0.86,,,,,
4481,,,,68.75,,
4482,,,,65.26,,
4483,,,,65.7,,
4484,,,95.19,,,
4485,,,,,29.67,
4486,,,,,24.2,
4487,55.57,,,,,
4488,81.06,,,,,
4489,,,,,,3.58
4490,79.33,,,,,
4491,81.09,,,,,
4492,,,,,44.7,
4493,,,,70.03,,
4494,,,,,,3.72
4495,,3.61,,,,
4496,30.36,3.73,57.49,79.61,22.12,7.19
4497,33.6,,,,,
4498,,4.4,,,,
4499,,,132.94,,,
4500,63.48,,,,,
4501,,,,,10.74,
4502,,,,31.48,,
4503,,,,,11.04,
4504,,,,,,32.58
4505,,,,38.44,,
4506,31.85,5.38,39.79,56.01,16.22,25.01
4507,,,,,35.52,
4508,,,99.64,,,
4509,,5.72,,,,
4510,52.16,,,,,
4511,,,,,7.04,
4512,43.91,,,,,
4513,,,49.72,,,
4514,,5.03,,,,
4515,,,,,22.36,
4516,,,,,,3.73
4517,27.75,,,,,
4518,,,,,13.71,
4519,,5.15,,,,
4520,34.93,,,,,
4521,,6.3,,,,
4522,,,,,15.43,
4523,,,,47.23,,
4524,,,,,,26.98
4525,,,,,,27.88
4526,,,,58.45,,
4527,,,,52.45,,
4528,,,,,18.53,
4529,,,,,14.58,
4530,,,49.02,,,
4531,,,,,12.79,
4532,,,,,,9.32
4533,,,,,73.3,
4534,,,,85.14,,
4535,,,,,29.29,
4536,,4.61,,,,
4537,,,,112.18,,
4538,,,,,28.21,
4539,,,,64.02,,
4540,30.32,,,,,
4541,26.18,,,,,
4542,,,,,,4.25
4543,29.66,,,,,
4544,,,,,,10.09
4545,,,34.38,,,
4546,,,,,,31.89
4547,,,27.98,,,
4548,,,,,,37.03
4549,,,31.27,,,
4550,,5.01,,,,
4551,14.52,,,,,
4552,12.65,,,,,
4553,33.31,,,,,
4554,,,,,140.33,
4555,,,,208.12,,
4556,,,,,96.99,
4557,,,,,,3.84
4558,,4.84,,,,
4559,,,,,,11.54
4560,,,,,16.79,
4561,,,,37.17,,
4562,,,,26.67,,
4563,,,,,5.21,
4564,18.35,,,,,
4565,,,,,,20.07
4566,,3.92,,,,
4567,,,,164.38,,
4568,,,,,25.21,
4569,13.97,,,,,
4570,,,40.37,,,
4571,,,37.52,,,
4572,,,39.19,,,
4573,10.55,,,,,
4574,,,66.2,,,
4575,,,,,20.22,
4576,,,,65.05,,
4577,,,,,20.34,
4578,,3.74,,,,
4579,,,,,,26.63
4580,,3.2,,,,
4581,,,33.56,,,
4582,9.59,,,,,
4583,,,,19.76,,
4584,5.74,3.13,15.85,20.49,4.64,28.07
4585,,3.22,,,,
4586,,,,,6.24,
4587,,3.39,,,,
4588,,,,44.64,,
4589,,,43.75,,,
4590,,3.42,,,,
4591,,,,,21.35,
4592,,,,,17.85,
4593,,,,,,26.97
4594,,3.12,,,,
4595,,,,45.33,,
4596,7.46,,,,,
4597,,,,36.91,,
4598,,3.0,,,,
4599,3.57,3.14,31.69,47.05,15.36,9.61
4600,,,,,,6.75
4601,,,,,,11.06
4602,2.56,,,,,
4603,,,,48.3,,
4604,,,30.54,,,
4605,,,,,,10.97
4606,,,,20.07,,
4607,,3.23,,,,
4608,,,,,5.06,
4609,,,18.14,,,
4610,,3.45,,,,
4611,,3.65,,,,
4612,,,,138.42,,
4613,,,46.15,,,
4614,,4.28,,,,
4615,,,,,26.23,
4616,,3.87,,,,
4617,,3.87,,,,
4618,,,,29.68,,
4619,,,,,,21.49
4620,,,,40.76,,
4621,,,,55.36,,
4622,8.83,,,,,
4623,,,,,21.09,
4624,,,,68.72,,
4625,,,,,,3.96
4626,,,,66.13,,
4627,,,,,,8.43
4628,,,,84.26,,
4629,10.35,,,,,
4630,,,,,,3.75
4631,7.46,,,,,
4632,14.62,,,,,
4633,,,,55.24,,
4634,,,,58.9,,
4635,,,49.24,,,
4636,8.31,,,,,
4637,,,,,29.49,
4638,,5.3,,,,
4639,,,,58.27,,
4640,,,,,,15.27
4641,,4.82,,,,
4642,,,44.61,,,
4643,,,50.72,,,
4644,24.18,,,,,
4645,,,,,74.68,
4646,,,,,58.04,
4647,,,,,,3.42
4648,,,,,,5.34
4649,,,,414.5,,
4650,,,186.6,,,
4651,,,,469.64,,
4652,,7.06,,,,
4653,,,,,346.52,
4654,132.65,,,,,
4655,,5.74,,,,
4656,,,,129.49,,
4657,,,,,89.24,
4658,,,,,,3.5
4659,,,,,,3.24
4660,,,,,,3.53
4661,,,,,416.66,
4662,,,,32.89,,
4663,,,,38.0,,
4664,46.66,14.44,41.34,59.47,18.14,17.52
4665,,,107.35,,,
4666,,,,,,4.55
