,S14_PM10,S14_PM25,S14_SO2,S14_NO2,S14_NOX,S14_NO
717,,,,,,27.44
718,,,,,,28.05
719,,,,112.65,,
720,52.41,,,,,
721,,,,,,72.78
722,59.5,,,,,
723,,,,,,97.19
724,,,,160.21,,
725,,,,109.52,,
726,,,,,,44.6
727,,,,,93.5,
728,,,,52.97,,
729,,,,,73.25,
730,,12.05,,,,
731,,,,,54.91,
732,9.84,,,,,
733,,10.56,,,,
734,,,,90.19,,
735,,,,,154.14,
736,,,,60.01,,
737,48.35,,,,,
738,34.58,,,,,
739,,19.0,,,,
740,,,,,174.56,
741,,,2.98,,,
742,53.18,,,,,
743,,,,25.97,,
744,35.62,,,,,
745,,,2.15,,,
746,,18.42,,,,
747,,,,,,13.78
748,,,,,,30.88
749,,17.09,,,,
750,,,2.25,,,
751,26.7,,,,,
752,,,2.88,,,
753,,,4.81,,,
754,,,,,149.05,
755,,,5.37,,,
756,,,,,66.88,
757,,,2.78,,,
758,,16.02,,,,
759,,,,,,3.82
760,,,,,,11.74
761,27.13,,,,,
762,,,,,89.35,
763,,,,147.64,,
764,,,2.9,,,
765,,,,,,21.38
766,15.85,,,,,
767,,6.21,,,,
768,,,1.89,,,
769,,,,78.17,,
770,,,,,126.29,
771,,,,,,37.23
772,62.23,,,,,
773,,,,,,19.54
774,,,,,75.59,
775,,,1.44,,,
776,,,1.73,,,
777,,,,,,7.86
778,,,1.75,,,
779,,3.81,,,,
780,,,,,,0.66
781,,,,27.48,,
782,,,,36.4,,
783,9.35,,,,,
784,7.57,,,,,
785,21.84,,,,,
786,64.71,,,,,
787,,5.27,,,,
788,,,,,30.87,
789,,,1.64,,,
790,,,,,,6.85
791,,,,32.93,,
792,,1.7,,,,
793,,,1.26,,,
794,,1.2,,,,
795,3.78,,,,,
796,,,1.86,,,
797,,0.66,,,,
798,1.39,,,,,
799,,,1.29,,,
800,,,,40.83,,
801,,,,44.71,,
802,,,,,,1.16
803,,6.5,,,,
804,,,,115.36,,
805,6.29,,,,,
806,,,3.22,,,
807,,,,,63.29,
808,,,,,,16.56
809,,,,,75.0,
810,,,2.64,,,
811,,,3.23,,,
812,,,,59.89,,
813,,7.38,,,,
814,,,3.74,,,
815,,,,48.12,,
816,,,,,,3.44
817,,,,55.46,,
818,,,,,48.95,
819,,3.4,,,,
820,,,,26.89,,
821,,4.4,,,,
822,,,,,37.83,
823,19.88,,,,,
824,,4.96,,,,
825,,,,,93.68,
826,25.71,,,,,
827,,2.91,,,,
828,,,,,135.91,
829,25.63,,,,,
830,22.47,,,,,
831,,,,,32.22,
832,8.3,,,,,
833,,,,45.09,,
834,5.39,,,,,
835,,,1.91,,,
836,,,,,,15.14
837,,,,,,20.94
838,7.45,,,,,
839,9.1,,,,,
840,,,,,,9.72
841,,,,,,14.81
842,10.63,,,,,
843,,,,60.86,,
844,,,,,,4.38
845,,,,,,12.64
846,7.88,2.91,1.45,46.27,54.23,7.96
847,,,0.53,,,
848,,,0.51,,,
849,9.71,,,,,
850,,,0.54,,,
851,,,,75.92,,
852,,1.33,,,,
853,,,0.8,,,
854,11.5,,,,,
855,23.23,,,,,
856,,,,,,32.42
857,52.27,,,,,
858,44.01,,,,,
859,31.71,2.59,1.1,27.22,37.23,10.02
860,,,,25.08,,
861,,2.56,,,,
862,,,,,87.9,
863,,,,,73.78,
864,,,1.0,,,
865,,,,,111.86,
866,,,1.05,,,
867,,,,,71.53,
868,,,,,95.04,
869,,,,49.22,,
870,,,,39.36,,
871,,1.77,,,,
872,,,0.87,,,
873,4.4,,,,,
874,,,,20.18,,
875,,,,26.59,,
876,,,,30.01,,
877,,,0.72,,,
878,,,,,,35.46
879,14.06,,,,,
880,,,0.97,,,
881,13.0,,,,,
882,,,1.19,,,
883,7.5,,,,,
884,,,,,76.63,
885,3.73,,,,,
886,,,,,,12.84
887,,,,,,18.4
888,,,,73.74,,
889,5.33,,,,,
890,8.64,,,,,
891,,,,,,7.35
892,,,0.25,,,
893,,,,,21.2,
894,,,,,,3.22
895,,,,,,12.79
896,,,,,49.35,
897,,,0.58,,,
898,,,,50.06,,
899,,,,27.22,,
900,,,,,40.96,
901,,,,,39.43,
902,,1.7,,,,
903,36.01,,,,,
904,,4.5,,,,
905,18.31,,,,,
906,,,1.35,,,
907,10.17,,,,,
908,,,,,,18.51
909,,,,,,19.56
910,,,,46.56,,
911,11.68,,,,,
912,,6.11,,,,
913,,5.63,,,,
914,,,,,26.07,
915,,,,21.12,,
916,,4.35,,,,
917,,,,,,9.96
918,6.08,,,,,
919,,4.28,,,,
920,,,,,,28.93
921,,,0.7,,,
922,,,,31.38,,
923,,,,80.54,,
924,,,1.78,,,
925,,,1.94,,,
926,,,1.85,,,
927,,,1.5,,,
928,,,,,145.14,
929,,,,,,46.16
930,,,1.95,,,
931,,,,,,35.67
932,,,,62.83,,
933,,,0.95,,,
934,,,,69.57,,
935,,,1.22,,,
936,,,,,198.18,
937,,,,,136.64,
938,54.48,,,,,
939,,,4.42,,,
940,,16.74,,,,
941,,,,,42.04,
942,,,,19.39,,
943,,,,,39.24,
944,14.95,,,,,
945,12.62,7.98,1.5,33.8,53.94,20.13
946,,,,36.24,,
947,,,,,121.22,
948,,,,44.76,,
949,,,1.19,,,
950,32.7,,,,,
951,,,,36.17,,
952,,,1.3,,,
