,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO,OUT
441,13.88,6.26,3.2,25.91,33.33,7.42,1
442,13.92,4.18,2.97,24.02,29.83,5.81,2
443,31.52,9.99,5.59,35.27,56.35,21.08,3
444,46.12,35.34,8.67,112.64,176.56,63.92,4
445,86.39,60.88,3.18,62.39,80.28,17.89,3
446,72.98,53.19,2.71,36.07,47.91,11.84,3
447,47.98,30.44,1.96,26.13,31.85,5.72,2
448,31.57,19.07,2.37,28.85,34.45,5.6,1
449,19.46,11.28,2.22,27.79,32.45,4.66,1
450,16.02,7.71,2.04,33.3,38.06,4.76,1
451,14.1,6.18,2.11,27.64,31.89,4.25,1
452,22.25,9.49,1.92,18.4,21.76,3.36,1
453,13.9,7.12,2.27,21.3,24.29,2.99,2
454,24.49,5.02,2.24,50.57,63.63,13.06,1
455,17.94,5.24,2.32,31.35,39.78,8.43,1
456,7.65,6.72,2.12,19.36,26.61,7.25,1
457,6.49,5.93,3.01,20.86,27.92,7.06,1
458,17.77,11.65,2.52,19.3,25.43,6.13,1
459,12.52,8.08,2.57,23.22,29.67,6.45,2
460,29.34,16.18,2.8,25.12,30.99,5.87,1
461,18.61,9.74,3.06,32.95,38.53,5.58,2
462,19.98,15.62,3.5,57.46,65.94,8.48,2
463,24.44,19.11,3.37,65.88,84.06,18.18,2
464,30.2,19.05,3.22,71.49,89.37,17.88,2
465,29.84,11.14,3.02,72.24,91.62,19.38,2
466,36.03,12.56,2.81,58.94,74.29,15.35,2
467,36.88,14.33,2.41,41.22,47.85,6.63,2
468,35.54,9.55,3.28,49.9,60.8,10.9,2
469,38.65,14.41,4.81,60.53,72.5,11.97,2
470,44.36,20.49,4.17,55.81,62.45,6.64,2
471,44.35,19.64,3.31,52.33,57.4,5.07,2
472,28.0,11.26,3.96,51.53,57.22,5.69,2
473,37.86,10.59,8.23,87.58,135.12,47.54,3
474,38.59,7.44,10.19,131.68,256.56,124.88,2
475,41.2,18.48,7.23,14.34,20.29,5.95,2
