,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
3235,,,,,,,1.51
3236,,,,134.33,,,
3237,,,,,,,13.5
3238,,,,129.3,,,
3239,,,,,,,32.17
3240,,,,,,,53.31
3241,,,,42.76,,,
3242,,,5.34,,,,
3243,62.56,,,,,,
3244,,17.79,,,,,
3245,,,,,47.48,,
3246,46.9,,,,,,
3247,47.85,,,,,,
3248,,,,,,,37.54
3249,,,5.08,,,,
3250,,,5.65,,,,
3251,,,,,207.69,,
3252,,6.49,,,,,
3253,65.02,,,,,,
3254,,,,126.2,,,
3255,,,,,,,0.41
3256,,,,108.18,,,
3257,,,,101.08,,,
3258,,,,,162.4,,
3259,,,5.47,,,,
3260,,,,,,49.1,
3261,,33.53,,,,,
3262,,,,66.86,,,
3263,67.55,,,,,,
3264,,,,,,10.46,
3265,,,,,32.15,,
3266,,,,,,6.44,
3267,,,,,,6.96,
3268,,,4.55,,,,
3269,,,,,31.08,,
3270,,16.31,,,,,
3271,33.71,12.97,5.33,165.79,214.06,48.27,2.46
3272,,,,,,,15.73
3273,,,,,,,12.64
3274,,,5.19,,,,
3275,,,,,,163.57,
3276,66.46,7.83,6.14,157.79,268.77,110.98,0.45
3277,,,,,,87.15,
3278,,,,,,116.31,
3279,,,,,233.61,,
3280,70.33,,,,,,
3281,,,,,,,0.51
3282,,,,160.57,,,
3283,,,,125.48,,,
3284,,,,,156.77,,
3285,,,,,,31.15,
3286,,,,,,16.04,
3287,58.74,,,,,,
3288,,,,,,,80.03
3289,,10.4,,,,,
3290,,,,,,,101.2
3291,,,,,55.42,,
3292,,,4.95,,,,
3293,,,,,185.52,,
3294,,,,,189.17,,
3295,76.38,,,,,,
3296,,,,35.21,,,
3297,,,,25.56,,,
3298,,,,17.4,,,
3299,,5.28,,,,,
3300,33.17,,,,,,
3301,28.72,,,,,,
3302,,,,,11.33,,
3303,,,3.29,,,,
3304,,,,,11.32,,
3305,,5.55,,,,,
3306,,,,73.4,,,
3307,,,,,,,29.09
3308,,,,,50.63,,
3309,,5.81,,,,,
3310,,,,27.13,,,
3311,,,,,33.19,,
3312,,,,,,13.64,
3313,,3.67,,,,,
3314,,,,,,21.52,
3315,,,,,,14.83,
3316,,,,,,,31.48
3317,25.99,,,,,,
3318,,,,,32.85,,
3319,,3.06,,,,,
3320,,,3.64,,,,
3321,,,,,16.3,,
3322,,2.36,,,,,
3323,,,,,,,38.08
3324,,,3.28,,,,
3325,,2.12,,,,,
3326,,,,92.86,,,
3327,,,,58.05,,,
3328,,3.61,,,,,
3329,,,,28.58,,,
3330,27.98,,,,,,
3331,,,,28.27,,,
3332,71.4,,,,,,
3333,,,,,,,81.99
3334,,,,,31.39,,
3335,,4.26,,,,,
3336,,3.58,,,,,
3337,,,,,,,21.07
3338,,2.77,,,,,
3339,,12.02,,,,,
3340,,,,,,18.34,
3341,,,,27.28,,,
3342,,,,,,5.23,
3343,,,,,29.55,,
3344,,,,,,6.07,
3345,,,4.54,,,,
3346,65.1,,,,,,
3347,,,,,,7.42,
3348,,,,50.2,,,
3349,,,,,,,6.86
3350,,,,,,83.33,
3351,,,,122.71,,,
3352,,,,71.88,,,
3353,63.69,,,,,,
3354,,,4.55,,,,
3355,,,,,93.98,,
3356,69.97,,,,,,
3357,77.97,,,,,,
3358,,,,57.44,,,
3359,,,,,,,27.52
3360,54.63,,,,,,
3361,,,3.86,,,,
3362,,,,,,7.93,
3363,,,,,94.32,,
3364,,,,27.87,,,
3365,,,,,41.28,,
3366,,,3.45,,,,
3367,,,,,,,20.75
3368,,,,,,,13.06
3369,,2.63,,,,,
3370,,,,,,,60.95
3371,,,,,,24.07,
3372,,4.64,,,,,
3373,,,,,118.22,,
3374,,,,,81.25,,
3375,,3.88,,,,,
3376,,2.85,,,,,
3377,,3.99,,,,,
3378,,,,,,8.77,
3379,,,,32.09,,,
3380,24.32,,,,,,
3381,18.73,,,,,,
3382,,,,,,11.45,
3383,,,,,,8.01,
3384,,,,,,,20.59
3385,,16.07,,,,,
3386,,,4.53,,,,
3387,,,4.21,,,,
3388,,9.77,,,,,
3389,,,,,,,30.68
3390,,,3.64,,,,
3391,26.81,,,,,,
3392,,,,,,33.33,
3393,,5.05,,,,,
3394,,,3.5,,,,
3395,,,,49.1,,,
3396,27.08,,,,,,
3397,,,,,39.21,,
3398,,,,,39.87,,
3399,,,3.89,,,,
3400,,,3.93,,,,
3401,19.03,,,,,,
3402,,,,,49.47,,
3403,,,,,,,37.04
3404,,,,,,,53.16
3405,,,3.94,,,,
3406,,1.56,,,,,
3407,,,,,,5.31,
3408,,,1.8,,,,
3409,,,,59.46,,,
3410,,7.03,,,,,
3411,,,,,,,4.62
3412,,,,,56.03,,
3413,,,1.35,,,,
3414,,,,,,12.09,
3415,14.14,,,,,,
3416,,,,,,7.11,
3417,,6.37,,,,,
3418,,,,45.13,,,
3419,,,1.35,,,,
3420,,,,54.63,,,
3421,,6.03,,,,,
3422,,,,37.6,,,
3423,,,1.2,,,,
3424,,,1.27,,,,
3425,9.67,,,,,,
3426,,,,,23.11,,
3427,,,,20.05,,,
3428,,,,,,,31.23
3429,,,,40.38,,,
3430,,,,37.0,,,
3431,,,,38.99,,,
3432,,,1.41,,,,
3433,34.79,,,,,,
3434,,,,,,7.66,
3435,,,,,,,52.73
3436,,,,,,8.44,
3437,,,1.48,,,,
3438,,,,,,,43.77
3439,,,1.53,,,,
3440,,,,,35.92,,
3441,,,1.4,,,,
3442,12.45,,,,,,
3443,,,,,,5.54,
3444,,,,,,,50.67
3445,,,1.22,,,,
3446,,,,,17.4,,
3447,,,,,,,48.51
3448,,,,5.88,,,
3449,,,1.24,,,,
3450,,6.04,,,,,
3451,,5.73,,,,,
3452,,,,,,,47.33
3453,,,,,29.43,,
3454,7.87,,,,,,
3455,,,1.28,,,,
3456,,,,,,8.14,
3457,10.38,,,,,,
3458,,,,,25.11,,
3459,,6.42,,,,,
3460,,17.81,,,,,
3461,,,,,,,60.24
3462,56.18,,,,,,
3463,,,,,68.74,,
3464,,,,,,,55.42
3465,40.33,,,,,,
3466,29.85,,,,,,
3467,,2.39,,,,,
3468,78.15,,,,,,
3469,79.94,,,,,,
3470,,21.32,,,,,
3471,,27.28,,,,,
3472,,,,,,89.32,
3473,,,,,,53.68,
3474,,,,,220.37,,
3475,,,,,,,0.85
3476,82.67,,,,,,
3477,,,,,,74.21,
3478,71.59,,,,,,
3479,,,,174.14,,,
3480,99.15,,,,,,
3481,,25.46,,,,,
3482,,,,86.39,,,
3483,,,,,76.16,,
3484,,,,,49.98,,
3485,,11.3,,,,,
3486,,11.73,,,,,
3487,80.84,,,,,,
3488,,,2.54,,,,
3489,,,3.65,,,,
3490,,6.07,,,,,
3491,,,2.56,,,,
3492,54.38,,,,,,
3493,,,2.48,,,,
3494,,,2.6,,,,
3495,36.37,,,,,,
3496,,,,,,46.84,
3497,,,2.19,,,,
3498,,,,,211.78,,
3499,,,,116.95,,,
3500,43.95,,,,,,
3501,,,,,,,1.56
3502,,,1.98,,,,
3503,,,2.16,,,,
3504,,,,,91.75,,
3505,,,2.26,,,,
3506,,,,,,,58.1
3507,,,,32.04,,,
3508,,,,,,,61.59
3509,,,2.22,,,,
3510,,,,,,11.22,
3511,,,,125.13,,,
3512,,,,216.36,,,
3513,,,3.46,,,,
3514,,,2.74,,,,
3515,,,,,,138.33,
3516,,,2.74,,,,
3517,,,,,,,0.73
3518,81.06,,,,,,
3519,,,,,,183.06,
3520,,,,75.97,,,
3521,,,,,,10.49,
3522,,,2.54,,,,
3523,,,,,31.35,,
3524,,,2.49,,,,
3525,,5.92,,,,,
3526,,,,,,,41.4
3527,,,,7.13,,,
3528,,,2.16,,,,
3529,,,,,,,45.52
3530,,,,7.54,,,
3531,,,,,,,39.64
3532,,,,,59.94,,
3533,,,,,,18.33,
3534,,,,,61.19,,
3535,,,,,,,39.36
3536,16.75,,,,,,
3537,,,2.8,,,,
3538,,,,,,,49.82
3539,,,,,,12.34,
3540,39.33,,,,,,
3541,,,,,,23.39,
3542,,,3.76,,,,
3543,,6.14,,,,,
3544,77.36,,,,,,
3545,,,,,103.71,,
3546,,,,,,80.75,
3547,,,,,,67.97,
3548,,,,,,82.85,
3549,,,,128.07,,,
3550,,,,,139.12,,
3551,,,3.72,,,,
3552,,7.2,,,,,
3553,43.92,,,,,,
3554,,,,,295.66,,
3555,49.02,6.3,3.68,143.51,292.84,149.33,2.79
3556,,6.93,,,,,
3557,,,,,,,40.07
3558,,,,45.62,,,
3559,,,3.43,,,,
3560,,,,,,13.73,
3561,,,,,,11.84,
3562,35.59,,,,,,
3563,,,,,,10.47,
3564,,,,213.8,,,
3565,,,,,,371.89,
3566,,,,,,187.8,
3567,,,4.45,,,,
3568,,,,192.04,,,
3569,,,5.06,,,,
3570,,,,,,235.83,
3571,,27.16,,,,,
3572,125.82,,,,,,
3573,,,,,,219.62,
3574,,,4.76,,,,
3575,,,,,367.16,,
3576,118.2,,,,,,
3577,,,4.89,,,,
3578,,,,209.12,,,
3579,129.24,,,,,,
3580,,,,,297.18,,
3581,,41.51,,,,,
3582,,38.18,,,,,
3583,,28.17,,,,,
3584,,23.56,,,,,
3585,,,,,68.52,,
3586,,,,49.67,,,
3587,,,3.92,,,,
3588,,,,,,,20.34
3589,,5.28,,,,,
3590,61.51,,,,,,
3591,,,,,,,19.82
3592,,,5.85,,,,
3593,,,5.34,,,,
3594,,,,,447.64,,
3595,,,,210.31,,,
3596,,,,,426.76,,
3597,93.44,,,,,,
3598,,,,,386.77,,
3599,,34.39,,,,,
3600,,,4.26,,,,
3601,,,,,,207.34,
3602,70.56,15.67,4.46,170.5,344.72,174.22,17.69
3603,,,4.75,,,,
3604,,14.56,,,,,
3605,70.51,,,,,,
3606,,21.88,,,,,
3607,,,,,,,67.71
3608,,13.2,,,,,
3609,,,,,51.96,,
3610,,,,,,,73.56
3611,34.17,,,,,,
3612,28.91,,,,,,
3613,,,,139.91,,,
3614,,1.76,,,,,
3615,,,,,,,16.94
3616,,,,152.98,,,
3617,47.06,,,,,,
3618,,,4.57,,,,
3619,,,,150.77,,,
3620,,,,,,,16.41
3621,,,3.73,,,,
3622,,,,,148.87,,
3623,43.68,,,,,,
3624,,12.52,,,,,
3625,,,,,315.36,,
3626,,,,,,165.29,
3627,,12.62,,,,,
3628,79.72,,,,,,
3629,,,5.76,,,,
3630,,11.71,,,,,
3631,,8.81,,,,,
3632,,,,,53.12,,
3633,,7.53,,,,,
3634,,,,30.99,,,
3635,,,4.89,,,,
3636,,,,,,17.51,
3637,,,,,,18.36,
3638,,9.09,,,,,
3639,,8.3,,,,,
3640,30.96,,,,,,
3641,,,,,,8.44,
3642,,,,,,8.14,
3643,,,,,,6.29,
3644,,,,,,5.82,
3645,,,,,,,27.95
3646,14.13,,,,,,
3647,,,,,135.91,,
3648,,,3.86,,,,
3649,,,,,138.82,,
3650,,,3.54,,,,
3651,,,,81.82,,,
3652,,,,,,44.12,
3653,,,,,,,17.74
3654,,,4.08,,,,
3655,,,,,,,27.91
3656,,,,,,,38.53
3657,,,3.9,,,,
3658,,5.92,,,,,
3659,6.9,,,,,,
3660,,,,,,,21.67
3661,6.88,,,,,,
3662,,,,57.52,,,
3663,,,,,71.82,,
3664,,,,,88.45,,
3665,,,4.3,,,,
3666,,,,,71.32,,
3667,,,,,61.44,,
3668,,,,,61.16,,
3669,38.44,,,,,,
3670,,,4.21,,,,
3671,,,,,,106.89,
3672,46.08,,,,,,
3673,45.53,,,,,,
3674,,8.08,,,,,
3675,,7.42,,,,,
3676,,,,,,40.92,
3677,43.69,,,,,,
3678,,,,,,148.12,
3679,,,,,,164.61,
3680,65.1,18.86,4.44,143.79,330.14,186.35,16.64
3681,,17.2,,,,,
3682,,,,,,,17.62
3683,77.38,,,,,,
3684,,,4.44,,,,
3685,,,3.39,,,,
3686,,,,,,30.7,
3687,,,,50.37,,,
3688,,,3.56,,,,
3689,,,3.86,,,,
3690,,8.57,,,,,
3691,,6.49,,,,,
3692,25.42,,,,,,
3693,,,,,609.23,,
3694,,,,,,,16.35
3695,,,4.79,,,,
3696,,11.05,,,,,
3697,,,,,321.62,,
3698,,,,,,,16.71
3699,,,,,292.45,,
3700,,40.82,,,,,
3701,,,,,353.73,,
3702,,,,,,236.69,
3703,,,,,,,16.76
3704,,47.42,,,,,
3705,,,,,387.71,,
3706,,,4.26,,,,
3707,,,4.25,,,,
3708,,,,,366.76,,
3709,120.6,,,,,,
3710,,,,52.68,,,
3711,,,,,99.39,,
3712,,17.07,,,,,
3713,,,,,,,60.81
3714,,,6.56,,,,
3715,,,,83.21,,,
3716,,,7.56,,,,
3717,,,,268.44,,,
3718,,,,221.59,,,
3719,,,,,,,16.23
3720,,,,202.28,,,
3721,,,,,,361.25,
3722,,,,243.96,,,
3723,,,5.19,,,,
3724,,,,172.03,,,
3725,,,,,,,16.74
3726,,,,,412.5,,
3727,,,,148.01,,,
3728,,47.3,,,,,
3729,,37.01,,,,,
3730,,41.81,,,,,
3731,,40.74,,,,,
3732,,,,126.64,,,
3733,,,,127.61,,,
3734,,,,,,30.75,
3735,,,,,,,62.37
3736,,,4.15,,,,
3737,,12.33,,,,,
3738,,13.63,,,,,
3739,,,,,,,43.31
3740,,,,114.93,,,
3741,,7.96,,,,,
3742,,7.07,,,,,
3743,,,4.3,,,,
3744,,,,,312.79,,
3745,78.3,,,,,,
3746,96.48,,,,,,
3747,,,4.37,,,,
3748,,,,,,63.02,
3749,,,,,,,16.46
3750,78.25,,,,,,
3751,66.1,,,,,,
3752,55.8,13.68,3.97,132.3,266.17,133.86,16.53
3753,,,,,474.62,,
3754,,13.42,,,,,
3755,,,,,,,40.26
3756,,9.92,,,,,
3757,,,,,,312.24,
3758,,,,54.5,,,
3759,,,4.53,,,,
3760,,,4.23,,,,
3761,,,,,,40.57,
3762,,,,,,232.19,
3763,,,,290.59,,,
3764,,,,,613.71,,
3765,,,,,,341.84,
3766,,,,192.76,,,
3767,,,,,,,16.46
3768,,,4.86,,,,
3769,,,,,171.45,,
3770,113.56,,,,,,
3771,,,,,,16.31,
3772,,,,,,11.94,
3773,,,,,,11.88,
3774,,17.2,,,,,
3775,,,,,,160.02,
3776,,,,,,340.8,
3777,119.54,,,,,,
3778,,,,,,80.63,
3779,,,,,,,39.85
3780,,,,56.84,,,
3781,,,,41.91,,,
3782,,,,,54.66,,
3783,,,,,54.79,,
3784,,,,,64.71,,
3785,,,,,,62.54,
3786,,,6.38,,,,
3787,,,,,,,16.47
3788,,,,,306.6,,
3789,,14.46,,,,,
3790,,,,,,,16.95
3791,,42.08,,,,,
3792,,,,,,,16.83
3793,,,,,,,16.76
3794,117.21,,,,,,
3795,,,4.53,,,,
3796,,,,,,,17.8
3797,,,,,65.5,,
3798,,,4.62,,,,
3799,,10.25,,,,,
3800,,,,,469.21,,
3801,90.75,,,,,,
3802,112.38,,,,,,
3803,105.04,,,,,,
3804,,,,34.78,,,
3805,,,,,,,62.65
3806,,,3.97,,,,
3807,,,,,,,50.8
3808,,,3.9,,,,
3809,,,,,,66.43,
3810,69.49,,,,,,
3811,,,,138.0,,,
3812,,,,141.92,,,
3813,109.51,,,,,,
3814,,,5.4,,,,
3815,,,,,,,16.36
3816,93.92,,,,,,
3817,,,,,,,30.09
3818,,,,,,8.41,
3819,,,,,40.36,,
3820,,6.51,,,,,
3821,,,,,,,35.61
3822,46.46,,,,,,
3823,,,4.28,,,,
3824,,,4.92,,,,
3825,,,,61.19,,,
3826,,,,,,24.22,
3827,,,,,44.04,,
3828,,17.97,,,,,
3829,,12.95,,,,,
3830,,,4.47,,,,
3831,,,4.46,,,,
3832,,,,,,,40.58
3833,,4.7,,,,,
3834,,3.29,,,,,
3835,80.46,,,,,,
3836,,,,,135.44,,
3837,80.65,,,,,,
3838,84.22,,,,,,
3839,91.82,,,,,,
3840,,,,,,,16.69
3841,,,,137.21,,,
3842,,,4.89,,,,
3843,,,,,,,16.62
3844,132.56,,,,,,
3845,,,,,,234.1,
3846,,,,,,,16.65
3847,,,4.53,,,,
3848,,,,,268.24,,
3849,97.12,,,,,,
3850,,,4.39,,,,
3851,93.33,,,,,,
3852,93.03,,,,,,
3853,,,4.51,,,,
3854,,,,,,8.14,
3855,,,,,,6.75,
3856,,,,,,35.04,
3857,,3.9,,,,,
3858,,,,148.72,,,
3859,,,,122.05,,,
3860,83.28,,,,,,
3861,,4.47,,,,,
3862,,,,195.11,,,
3863,,,,,377.26,,
3864,,,5.46,,,,
3865,,,,,,,16.45
3866,,,,,,12.98,
3867,,,,,,196.4,
3868,130.82,,,,,,
3869,,32.54,,,,,
3870,,,,64.98,,,
3871,,,,,86.29,,
3872,,,,,80.48,,
3873,,,4.46,,,,
3874,,,4.64,,,,
3875,,,,,,,17.11
3876,,,,335.44,,,
3877,,,5.76,,,,
3878,,,,,262.65,,
3879,152.31,,,,,,
3880,,,6.06,,,,
3881,,33.6,,,,,
3882,,,,113.39,,,
3883,,11.38,,,,,
3884,,,,,,18.55,
3885,,,,38.32,,,
3886,,,,39.7,,,
3887,,,3.49,,,,
3888,,4.73,,,,,
3889,,,,,,84.58,
3890,,,,,,,12.67
3891,,10.04,,,,,
3892,,,,,192.01,,
3893,,9.24,,,,,
3894,,6.94,,,,,
3895,,,3.95,,,,
3896,,,3.62,,,,
3897,,,,,,56.92,
3898,,,,,151.27,,
3899,,,,,157.91,,
3900,,,,,,,28.59
3901,,,4.93,,,,
3902,,,,,,,21.44
3903,,,,,126.61,,
3904,60.2,,,,,,
3905,,,,,,72.84,
3906,,,,61.99,,,
3907,,,,,,6.7,
3908,,,,,39.59,,
3909,,,,44.12,,,
3910,,,,,,6.59,
3911,,,,,,6.39,
3912,,,,,26.15,,
3913,,,,,,5.72,
3914,,3.68,,,,,
3915,,,,19.62,,,
3916,,,,,,,21.24
3917,,,,,,,19.64
3918,,,,65.52,,,
3919,,1.33,,,,,
3920,,,,58.0,,,
3921,,,,37.98,,,
3922,,,3.23,,,,
3923,,,,,53.4,,
3924,,0.8,,,,,
3925,,,,,,,13.01
3926,,,5.33,,,,
3927,,,,,,,14.85
3928,,,4.29,,,,
3929,,,,,,,15.95
3930,67.27,,,,,,
3931,,,,,,,15.93
3932,,14.78,,,,,
3933,,,,96.16,,,
3934,,,,,,,15.93
3935,,11.65,,,,,
3936,,,4.75,,,,
3937,,,,153.05,,,
3938,67.9,,,,,,
3939,,25.57,,,,,
3940,,26.76,,,,,
3941,,27.34,,,,,
3942,,,,98.49,,,
3943,,,,,,36.59,
3944,112.02,24.23,3.14,52.46,76.71,24.25,41.28
3945,,,,42.11,,,
3946,,,,,,15.76,
3947,,,3.49,,,,
3948,,,,,,,20.1
3949,,,,198.33,,,
3950,,,,,324.03,,
3951,,,,120.13,,,
3952,,,,48.34,,,
3953,,,,,,14.45,
3954,,,,,112.84,,
3955,,,,,,21.11,
3956,,,,,,21.71,
3957,,,2.85,,,,
3958,,,,,,10.98,
3959,,,,34.93,,,
3960,,,,19.31,,,
3961,,,2.51,,,,
3962,,2.36,,,,,
3963,23.82,,,,,,
3964,,,,28.67,,,
3965,,,,18.76,,,
3966,,,,,,8.98,
3967,,,2.63,,,,
3968,,,,,26.52,,
3969,,2.22,,,,,
3970,32.16,,,,,,
3971,35.37,,,,,,
3972,,,,,,,43.48
3973,,,,,,11.2,
3974,62.3,,,,,,
3975,,4.01,,,,,
3976,,,2.71,,,,
3977,,,,,49.68,,
3978,,,,,30.39,,
3979,,,,,37.7,,
3980,,,3.44,,,,
3981,,,3.19,,,,
3982,94.42,,,,,,
3983,,,,,16.62,,
3984,94.53,,,,,,
3985,,,,,,7.16,
3986,90.87,,,,,,
3987,,,,,,43.98,
3988,,,,,,,37.27
3989,,,3.28,,,,
3990,76.71,,,,,,
3991,,,,,42.87,,
3992,,2.63,,,,,
3993,49.89,,,,,,
3994,,,,,48.93,,
3995,,,,,58.19,,
3996,,,,52.06,,,
3997,,,,,,,22.11
3998,28.78,,,,,,
3999,45.49,,,,,,
4000,66.57,,,,,,
4001,,,,132.48,,,
4002,,,,,166.7,,
4003,,9.58,,,,,
4004,,10.73,,,,,
4005,,11.33,,,,,
4006,,,,,172.78,,
4007,,,4.3,,,,
4008,,,,85.96,,,
4009,,5.37,,,,,
4010,,,,,335.48,,
4011,,,,,,,19.21
4012,,,,,,100.11,
4013,,27.92,,,,,
4014,,,,46.25,,,
4015,,,,,,12.47,
4016,,,,,,15.93,
4017,,,4.87,,,,
4018,,,,,,,58.89
4019,,,,115.05,,,
4020,,3.58,,,,,
4021,,,,159.61,,,
4022,,,,,497.29,,
4023,,,,183.11,,,
4024,,,,,,,16.93
4025,,,,,,222.52,
4026,,,,,298.72,,
4027,,,,170.55,,,
4028,,,,,,,16.76
4029,,47.41,,,,,
4030,,44.44,,,,,
4031,91.67,,,,,,
4032,91.43,,,,,,
4033,,30.14,,,,,
4034,90.73,26.96,3.7,181.71,373.92,192.21,18.72
4035,,,3.52,,,,
4036,,,,82.28,,,
4037,68.86,,,,,,
4038,,,,,,17.85,
4039,,,,,,15.05,
4040,,,,,,14.5,
4041,,,,,182.04,,
4042,,,,,,348.15,
4043,,,,,,,17.05
4044,,24.47,,,,,
4045,129.26,,,,,,
4046,,,,,,128.34,
4047,,,,,,172.29,
4048,,,,,,161.07,
4049,,,,,357.17,,
4050,,43.34,,,,,
4051,,,4.76,,,,
4052,146.89,,,,,,
4053,,,,155.36,,,
4054,,,,,,,16.61
4055,,,,,,255.15,
4056,,,,,562.99,,
4057,,33.98,,,,,
4058,,,,,55.17,,
4059,,,,,57.17,,
4060,,,,,67.38,,
4061,,,4.1,,,,
4062,,,,,,17.43,
4063,,,3.64,,,,
4064,47.84,,,,,,
4065,,,3.41,,,,
4066,,2.26,,,,,
4067,,,,,25.63,,
4068,,,3.67,,,,
4069,,,3.53,,,,
4070,29.16,,,,,,
4071,,,,6.86,,,
4072,,,3.72,,,,
4073,,,3.66,,,,
4074,,,,,,5.55,
4075,,,,,19.84,,
4076,16.9,,,,,,
4077,,,,,,8.14,
4078,12.03,,,,,,
4079,,,,,,12.34,
4080,,,,,,,49.31
4081,,0.79,,,,,
4082,,,,,,,48.96
4083,,,3.74,,,,
4084,,,,,34.14,,
4085,4.95,,,,,,
4086,,,,,,7.38,
4087,,,,,,6.41,
4088,2.43,,,,,,
4089,1.93,,,,,,
4090,,0.54,,,,,
4091,,,,74.5,,,
4092,,,,,,,18.38
4093,,,,,59.79,,
4094,,,,,40.12,,
4095,,1.59,,,,,
4096,4.37,,,,,,
4097,,,,,,,41.32
4098,4.73,,,,,,
4099,,,3.69,,,,
4100,,,,,,,16.17
4101,,,,,247.38,,
4102,,,,91.46,,,
4103,66.42,9.33,3.98,93.67,150.34,56.66,28.03
4104,,,,76.0,,,
4105,,13.65,,,,,
4106,,,3.91,,,,
4107,,,,127.5,,,
4108,,,,,,112.23,
4109,,24.08,,,,,
4110,113.85,27.56,5.5,171.19,370.34,199.15,8.92
4111,,,,137.34,,,
4112,,,,,38.89,,
4113,,28.14,,,,,
4114,,19.91,,,,,
4115,34.8,,,,,,
4116,,,,,,5.7,
4117,,,,,,,39.63
4118,,,,,25.76,,
4119,,3.81,,,,,
4120,,2.8,,,,,
4121,,,,,,7.35,
4122,,,,76.24,,,
4123,,,,,,,18.53
4124,2.78,,,,,,
4125,4.38,,,,,,
4126,6.41,,,,,,
4127,,,,26.94,,,
4128,,,,,,,57.58
4129,,,3.28,,,,
4130,3.16,,,,,,
4131,,,,,,,45.94
4132,,,,,76.59,,
4133,,,,110.54,,,
4134,,,,153.86,,,
4135,,,,155.06,,,
4136,,,,,311.45,,
4137,,,,,,,16.43
4138,54.24,,,,,,
4139,44.74,,,,,,
4140,,,,,,,16.36
4141,,8.19,,,,,
4142,43.22,,,,,,
4143,34.76,,,,,,
4144,,,,,,116.53,
4145,,,,61.77,,,
4146,,,,94.59,,,
4147,,,4.18,,,,
4148,,,4.95,,,,
4149,77.7,,,,,,
4150,,28.39,,,,,
4151,,,3.66,,,,
4152,,,,,,30.71,
4153,,,,,78.83,,
4154,,,3.74,,,,
4155,,6.51,,,,,
4156,,,3.74,,,,
4157,,,,,,224.31,
4158,,,,,,,16.72
4159,,,,221.41,,,
4160,96.17,,,,,,
4161,,,,194.87,,,
4162,90.15,,,,,,
4163,,,,,,,16.62
4164,,,,,461.26,,
4165,,49.71,,,,,
4166,,,,,,,16.2
4167,,39.41,,,,,
4168,,,3.22,,,,
4169,68.25,,,,,,
4170,,30.81,,,,,
4171,,26.43,,,,,
4172,,21.23,,,,,
4173,,,,,,59.86,
4174,,17.84,,,,,
4175,,,,,,,24.29
4176,,,,,,,25.22
4177,,7.0,,,,,
4178,,4.59,,,,,
4179,,,,,,,22.31
4180,,2.54,,,,,
4181,,1.78,,,,,
4182,,,2.85,,,,
4183,,,,,42.91,,
4184,,,,,,,23.91
4185,,,4.89,,,,
4186,,22.79,,,,,
4187,,,,70.78,,,
4188,,14.92,,,,,
4189,,,,,,60.02,
4190,90.38,,,,,,
4191,,,,,,9.53,
4192,54.88,,,,,,
4193,,,3.3,,,,
4194,,,,,101.55,,
4195,,,,,,10.58,
4196,,11.64,,,,,
4197,16.04,,,,,,
4198,,6.54,,,,,
4199,,,,,,,16.29
4200,,,,,,143.52,
4201,,19.32,,,,,
4202,,,4.95,,,,
4203,,,,,,138.73,
4204,,39.14,,,,,
4205,,,4.59,,,,
4206,85.12,,,,,,
4207,,,,71.7,,,
4208,72.67,,,,,,
4209,,,,42.39,,,
4210,,,,,,,42.92
4211,,,,,,,42.4
4212,,5.66,,,,,
4213,,,2.87,,,,
4214,9.66,,,,,,
4215,,,,,,,44.72
4216,,1.82,,,,,
4217,,,,13.7,,,
4218,,0.89,,,,,
4219,,0.87,,,,,
4220,2.13,,,,,,
4221,,,3.45,,,,
4222,2.35,,,,,,
4223,,,,,,,32.99
4224,,,,,28.14,,
4225,1.98,,,,,,
4226,,,3.15,,,,
4227,,,,21.46,,,
4228,,,,23.13,,,
4229,,,,21.49,,,
4230,,,2.73,,,,
4231,,,,,,12.99,
4232,,,2.82,,,,
4233,,,,,41.32,,
4234,,0.14,,,,,
4235,,0.1,,,,,
4236,,,,,,,35.94
4237,1.68,,,,,,
4238,,,,,28.42,,
4239,,0.02,,,,,
4240,,,,,21.55,,
4241,1.66,,,,,,
4242,,,3.25,,,,
4243,,,,12.76,,,
4244,,,,,,,47.95
4245,,,,,,7.9,
4246,,,,,,,33.12
4247,,,3.91,,,,
4248,,,,,,,32.5
4249,8.61,,,,,,
4250,,,,,,,46.85
4251,,,,,,,45.02
4252,17.45,,,,,,
4253,,,,,,28.95,
4254,,,,,,,29.97
4255,,,,51.04,,,
4256,,,,,,12.1,
4257,,,3.59,,,,
4258,,0.53,,,,,
4259,,,,,,12.28,
4260,,,,30.13,,,
4261,,0.63,,,,,
4262,,,,,,7.89,
4263,,,,,,7.17,
4264,,,,,,7.47,
4265,2.91,,,,,,
4266,,,,,,,20.9
4267,,,4.81,,,,
4268,,,,,,95.81,
4269,,,,,157.91,,
4270,,,,,,31.6,
4271,,,,,,20.44,
4272,37.28,,,,,,
4273,,,,,,,49.48
4274,,,,,64.99,,
4275,,,,,,19.06,
4276,18.06,3.35,5.67,116.55,190.67,74.12,23.18
4277,,,,276.02,,,
4278,,,7.21,,,,
4279,,22.15,,,,,
4280,68.53,,,,,,
4281,,,,,,,16.52
4282,,23.38,,,,,
4283,,,,,199.88,,
4284,,,,99.35,,,
4285,,,5.96,,,,
4286,,,,,,126.7,
4287,,,,,409.72,,
4288,,,,,,310.32,
4289,89.08,,,,,,
4290,,,,,,,16.5
4291,97.52,,,,,,
4292,,,,,734.19,,
