,S17_PM10,S17_PM25,S17_SO2,S17_NO2,S17_NOX,S17_NO,S17_O3
927,,,,,,12.63,
928,,,,,,87.48,
929,,,2.47,,,,
930,95.73,,,,,,
931,,,,108.95,,,
932,80.43,,,,,,
933,85.6,,,,,,
934,,,2.64,,,,
935,,50.05,,,,,
936,,61.69,,,,,
937,,71.22,,,,,
938,,,,,108.41,,
939,,,,,,32.27,
940,,,,,64.24,,
941,105.17,,,,,,
942,,,,,56.32,,
943,,,1.94,,,,
944,,12.77,,,,,
945,,,,36.9,,,
946,43.24,,,,,,
947,,,,,,,41.94
948,,12.8,,,,,
949,,,,,,16.56,
950,,,,,,16.19,
951,,,,,,,52.96
952,,,,110.82,,,
953,,7.68,,,,,
954,95.43,,,,,,
955,,,,,134.76,,
956,77.62,,,,,,
957,,,,,262.12,,
958,,,2.27,,,,
959,,,,129.77,,,
960,,22.23,,,,,
961,,,,,,69.49,
962,,,,,,67.27,
963,78.12,,,,,,
964,,,,,,,3.8
965,,,,,,77.3,
966,,,,153.05,,,
967,,,,,,18.38,
968,,,1.64,,,,
969,,,,,,16.14,
970,,,,44.9,,,
971,,,,,,,76.02
972,,,,,,,73.94
973,,,,,100.6,,
974,,,,,,16.1,
975,,,,75.36,,,
976,,,1.84,,,,
977,,,,,,12.43,
978,,,,,108.94,,
979,,,,105.38,,,
980,,,1.7,,,,
981,,,,99.08,,,
982,47.19,21.29,1.95,115.62,184.93,69.31,3.09
983,,,,,,81.04,
984,,,2.13,,,,
985,50.13,,,,,,
986,,,,,195.79,,
987,89.75,,,,,,
988,,,,,158.45,,
989,,,,,,,45.95
990,,,,,,,66.89
991,,,,,,,81.03
992,,13.75,,,,,
993,69.62,,,,,,
994,,,,,,,88.55
995,,,1.63,,,,
996,,,,38.16,,,
997,,,,,52.2,,
998,,,,45.85,,,
999,27.91,,,,,,
1000,,,,,,4.54,
1001,,,,,58.82,,
1002,,,,,,,45.55
1003,,,,,,,67.77
1004,,,,,,5.14,
1005,20.04,,,,,,
1006,,,,,52.55,,
1007,,,,,46.04,,
1008,,,,,,4.02,
1009,,,,,37.72,,
1010,,,1.53,,,,
1011,11.94,,,,,,
1012,,,2.24,,,,
1013,,,,,,9.58,
1014,,,2.33,,,,
1015,,,,,,,87.08
1016,18.5,4.12,2.04,26.86,32.32,5.46,87.21
1017,,,1.74,,,,
1018,12.36,,,,,,
1019,,,1.93,,,,
1020,,,,,,5.79,
1021,,,,26.5,,,
1022,,,,,29.9,,
1023,,,1.43,,,,
1024,,,1.34,,,,
1025,,,,,28.43,,
1026,,3.44,,,,,
1027,,,,,,5.57,
1028,,,,,,4.32,
1029,11.55,3.15,1.33,38.99,43.07,4.08,51.64
1030,11.93,,,,,,
1031,,3.07,,,,,
1032,9.78,,,,,,
1033,,,,,,5.22,
1034,7.59,,,,,,
1035,,,,,,6.74,
1036,,,,,,,73.28
1037,,,,23.47,,,
1038,,4.2,,,,,
1039,,,,21.26,,,
1040,,,,,,5.09,
1041,7.53,3.41,1.71,22.22,27.19,4.97,84.8
1042,7.3,,,,,,
1043,,,,,,,87.4
1044,,,,,32.05,,
1045,,,1.74,,,,
1046,,,,35.2,,,
1047,,,,,32.33,,
1048,,,,,,,57.84
1049,,,1.46,,,,
1050,,,,,,4.5,
1051,,,,61.58,,,
1052,,,,,,,41.08
1053,10.71,,,,,,
1054,,,,,,4.71,
1055,,,,,,,51.85
1056,,,1.63,,,,
1057,8.66,,,,,,
1058,,,,,,5.42,
1059,,,,24.59,,,
1060,,,,,,5.35,
1061,,,,,,,85.89
1062,17.99,,,,,,
1063,,,,,,5.04,
1064,,,,,,5.95,
1065,,,,21.41,,,
1066,,,1.53,,,,
1067,,,,21.94,,,
1068,14.8,,,,,,
1069,11.86,,,,,,
1070,9.81,,,,,,
1071,,,,,,,53.73
1072,16.68,,,,,,
1073,,,,,,,47.23
1074,,,,99.04,,,
1075,,,,,163.67,,
1076,,,,,,10.93,
1077,,,1.62,,,,
1078,,,1.63,,,,
1079,,,,,36.22,,
1080,,,,43.05,,,
1081,,,,,,12.33,
1082,,,,,64.85,,
1083,,,,,,6.8,
1084,,,1.7,,,,
1085,,,,,,,65.78
1086,,,,30.92,,,
1087,,,,,,7.36,
1088,,,1.66,,,,
1089,,,1.69,,,,
