,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO
3844,,,,200.62,
3845,,,,155.33,
3846,,,,150.29,
3847,,3.33,,,
3848,,,,,100.27
3849,,,111.74,,
3850,,3.18,,,
3851,,3.05,,,
3852,86.84,,,,
3853,,,,21.51,
3854,,,,24.44,
3855,64.68,,,,
3856,,2.71,,,
3857,,,,,71.3
3858,,4.03,,,
3859,,,,633.87,
3860,,,,529.83,
3861,,,257.72,,
3862,117.51,,,,
3863,,,166.69,,
3864,,,,,104.79
3865,,,50.0,,
3866,60.62,,,,
3867,,,94.6,,
3868,,,75.0,,
3869,,3.01,,,
3870,,,86.85,,
3871,58.91,2.94,49.41,64.25,14.84
3872,,,,,8.46
3873,,,57.84,,
3874,,,,165.99,
3875,,,197.14,,
3876,,,,546.24,
3877,,4.63,,,
3878,,,,,281.97
3879,,,,,215.82
3880,,,152.58,,
3881,,,,,130.17
3882,92.46,,,,
3883,,,,,125.11
3884,,,62.34,,
3885,,2.96,,,
3886,,,45.58,,
3887,,,69.84,,
3888,,,,,117.06
3889,,,,,153.53
3890,,,,165.99,
3891,,,,,40.42
3892,,,123.17,,
3893,,,,168.66,
3894,,,,220.04,
3895,,,,240.02,
3896,,,,,83.05
3897,,,,124.65,
3898,35.99,,,,
3899,,,,,34.35
3900,,,,,8.05
3901,38.55,,,,
3902,,,,102.52,
3903,,,91.94,,
3904,43.78,,,,
3905,,,,,27.92
3906,,2.91,,,
3907,,,,,1.97
3908,58.96,,,,
3909,,,,,18.75
3910,,,,,4.46
3911,,2.58,,,
3912,,,,,2.93
3913,,,,26.11,
3914,,,33.55,,
3915,,,,,4.62
3916,,,85.23,,
3917,23.05,,,,
3918,,3.03,,,
3919,,,98.37,,
3920,19.5,,,,
3921,,,,,6.4
3922,,,25.34,,
3923,22.18,,,,
3924,,,68.66,,
3925,,,,205.46,
3926,,,,337.16,
3927,,,,,131.34
3928,,,266.23,,
3929,,,,524.27,
3930,,3.47,,,
3931,,,111.12,,
3932,,3.49,,,
3933,,,93.25,,
3934,,,,341.48,
3935,42.87,,,,
3936,52.61,,,,
3937,60.25,,,,
3938,,,,,87.52
3939,51.34,3.56,139.57,293.76,154.19
3940,,,,322.53,
3941,,3.27,,,
3942,,,,191.2,
3943,,,,75.51,
3944,58.74,,,,
3945,54.96,,,,
3946,,,,41.38,
3947,,2.59,,,
3948,,,49.98,,
3949,,,,67.18,
3950,,,,56.62,
3951,,,,,5.26
3952,41.77,,,,
3953,,,25.47,,
3954,,,,,40.0
3955,41.46,,,,
3956,41.0,,,,
3957,,,20.1,,
3958,,2.91,,,
3959,,,,,3.81
3960,,2.8,,,
3961,31.68,,,,
3962,29.99,,,,
3963,,2.84,,,
3964,,2.76,,,
3965,,,,,4.69
3966,,,,,3.54
3967,,,,19.84,
3968,,2.68,,,
3969,,,,,4.22
3970,34.12,,,,
3971,,,,,3.38
3972,,2.85,,,
3973,56.59,,,,
3974,62.95,,,,
3975,,,47.79,,
3976,,,,,4.63
3977,,,,,4.81
3978,,,,30.89,
3979,,,,30.95,
3980,,,18.41,,
3981,,2.59,,,
3982,,2.66,,,
3983,,,14.95,,
3984,,2.52,,,
3985,108.04,,,,
3986,,,,,11.85
3987,,,,,7.21
3988,,,,55.79,
3989,107.16,,,,
3990,,2.77,,,
3991,,,,,2.37
3992,,,15.65,,
3993,,,19.45,,
3994,,,,,2.67
3995,,,,,1.89
3996,33.1,,,,
3997,30.64,,,,
3998,38.45,,,,
3999,,3.5,,,
4000,,,159.2,,
4001,,4.55,,,
4002,,,,248.0,
4003,,,,,64.37
4004,,,81.74,,
4005,45.76,,,,
4006,,,,117.43,
4007,,,74.75,,
4008,,3.31,,,
4009,,,,222.01,
4010,,,141.04,,
4011,,,,,164.37
4012,,3.61,,,
4013,61.7,,,,
4014,,,63.95,,
4015,49.25,,,,
4016,,,44.94,,
4017,,,49.17,,
4018,,3.31,,,
4019,,,,,6.1
4020,35.56,,,,
4021,44.29,,,,
4022,56.58,,,,
4023,59.82,,,,
4024,67.67,,,,
4025,65.77,,,,
4026,,,148.26,,
4027,56.22,,,,
4028,,3.43,,,
4029,,,,150.84,
4030,49.62,,,,
4031,,,,,41.92
4032,,,,,97.83
4033,,,146.4,,
4034,,,,,160.7
4035,,,,225.65,
4036,,,111.61,,
4037,,3.08,,,
4038,,,60.45,,
4039,,,,44.44,
4040,,3.1,,,
4041,,3.37,,,
4042,44.1,4.15,189.95,319.09,129.14
4043,,,,654.79,
4044,,,,,274.96
4045,,4.96,,,
4046,82.59,,,,
4047,,,209.07,,
4048,,,,,134.72
4049,,,127.59,,
4050,65.93,,,,
4051,,3.55,,,
4052,,3.68,,,
4053,,,,,47.36
4054,53.48,,,,
4055,,,,241.24,
4056,,,,384.02,
4057,,,,,195.5
4058,,2.52,,,
4059,,,,,4.65
4060,,,,,4.97
4061,,2.24,,,
4062,,2.18,,,
4063,,,,47.87,
4064,,2.12,,,
4065,,2.05,,,
4066,,,27.39,,
4067,,2.31,,,
4068,,,,,0.65
4069,37.9,,,,
4070,,,,10.23,
4071,,,,8.15,
4072,,,,,0.91
4073,31.95,,,,
4074,,2.56,,,
4075,27.48,,,,
4076,,,,20.71,
4077,24.92,,,,
4078,,2.67,,,
4079,,,,,4.65
4080,,2.47,,,
4081,,2.53,,,
4082,,,30.8,,
4083,,,,,4.04
4084,,2.6,,,
4085,,,,34.06,
4086,,2.5,,,
4087,,,,69.25,
4088,,,,94.43,
4089,,,60.09,,
4090,,,,78.59,
4091,,,,103.25,
4092,,,,53.99,
4093,,,,,4.27
4094,,,,,1.94
4095,,,23.17,,
4096,,,25.84,,
4097,38.44,,,,
4098,,2.99,,,
4099,,,,,65.06
4100,,,,166.22,
4101,,3.67,,,
4102,,,81.98,,
4103,25.69,,,,
4104,,,,,5.99
4105,,2.98,,,
4106,,,,,22.01
4107,,,102.08,,
4108,88.33,,,,
4109,,3.23,,,
4110,,,95.84,,
4111,,,56.45,,
4112,,3.26,,,
4113,,2.84,,,
4114,44.41,,,,
4115,,2.23,,,
4116,,,,31.47,
4117,,2.4,,,
4118,,,,,1.67
4119,20.17,,,,
4120,,,17.78,,
4121,,,39.06,,
4122,,,57.39,,
4123,14.85,,,,
4124,,,,84.49,
4125,,,63.11,,
4126,,,54.26,,
4127,,2.82,,,
4128,,,,31.02,
4129,,,,29.7,
4130,,,24.91,,
4131,,,,29.13,
4132,,2.92,,,
4133,11.63,,,,
4134,,,,178.28,
4135,,3.48,,,
4136,,,,305.96,
4137,,,,,196.88
4138,,3.88,,,
4139,,,,,205.63
4140,36.51,,,,
4141,,,,281.87,
4142,,3.51,,,
4143,,,109.53,,
4144,,,,167.33,
4145,,,,,52.89
4146,28.87,,,,
4147,30.81,,,,
4148,,,,301.64,
4149,50.29,,,,
4150,,,,215.04,
4151,,,104.76,,
4152,,,68.34,,
4153,,2.92,,,
4154,,3.01,,,
4155,39.95,,,,
4156,40.65,,,,
4157,,,,,153.39
4158,,,235.25,,
4159,,,,,16.9
4160,,3.17,,,
4161,32.51,,,,
4162,,,,548.69,
4163,,4.65,,,
4164,,,,,303.24
4165,70.63,,,,
4166,,,135.31,,
4167,61.1,,,,
4168,,,,247.15,
4169,,,124.12,,
4170,,,215.83,,
4171,,,159.12,,
4172,,3.77,,,
4173,49.83,,,,
4174,,3.04,,,
4175,,2.57,,,
4176,,2.58,,,
4177,,,,54.0,
4178,,,65.19,,
4179,21.52,,,,
4180,18.14,,,,
4181,,,69.24,,
4182,,,63.06,,
4183,,,,,9.61
4184,,,66.51,,
4185,,3.27,,,
4186,,3.2,,,
4187,,3.08,,,
4188,32.66,,,,
4189,25.51,3.31,75.33,90.07,14.74
4190,,,,,8.67
4191,,,58.72,,
4192,17.65,,,,
4193,,,80.03,,
4194,,2.66,,,
4195,,,,80.03,
4196,,,,,19.33
4197,,2.9,,,
4198,,2.72,,,
4199,,2.58,,,
4200,,,63.1,,
4201,,2.77,,,
4202,,2.76,,,
4203,,,101.15,,
4204,26.11,,,,
4205,,3.64,,,
4206,,3.71,,,
4207,,,27.77,,
4208,,,,44.2,
4209,45.32,,,,
4210,,,,,5.46
4211,51.4,,,,
4212,,,,44.84,
4213,,,41.28,,
4214,,2.21,,,
4215,,,24.11,,
4216,,2.78,,,
4217,,,,,2.53
4218,,,10.06,,
4219,,,,12.16,
4220,,,,,1.98
4221,,,,12.96,
4222,,,,17.7,
4223,7.82,,,,
4224,,,11.64,,
4225,,,,,1.01
4226,7.2,,,,
4227,6.74,,,,
4228,6.68,,,,
4229,,,17.5,,
4230,,3.1,,,
4231,12.72,,,,
4232,,,22.47,,
4233,,,26.39,,
4234,9.14,,,,
4235,,,27.09,,
4236,,,31.33,,
4237,,,,30.08,
4238,,,,32.66,
4239,,,,27.41,
4240,,,,19.74,
4241,7.22,,,,
4242,,,,,2.71
4243,8.52,,,,
4244,,,,20.27,
4245,,2.5,,,
4246,,,60.64,,
4247,,,61.32,,
4248,,2.63,,,
4249,,,,,1.79
4250,,,,,1.73
4251,,,,27.54,
4252,9.28,,,,
4253,,,,,10.2
4254,,,49.06,,
4255,,,55.14,,
4256,,,,,11.42
4257,17.1,,,,
4258,,3.17,,,
4259,,,,47.27,
4260,16.14,,,,
4261,,,,,3.06
4262,,3.09,,,
4263,,,,,2.67
4264,,,34.26,,
4265,,,,52.29,
4266,,,66.0,,
4267,12.14,3.81,103.57,184.14,80.57
4268,,,,,68.58
4269,,4.46,,,
4270,,,48.22,,
4271,,,,,21.14
4272,,,,,6.8
4273,30.52,,,,
4274,,,23.3,,
4275,,,,,4.76
4276,,4.25,,,
4277,,4.82,,,
4278,,,,,223.14
4279,28.26,,,,
4280,,,,,155.05
4281,,,,398.49,
4282,,,,,189.43
4283,,,149.4,,
4284,,,,211.93,
4285,,4.47,,,
4286,49.26,,,,
4287,,,,,48.64
4288,,,,,45.0
4289,,,,141.35,
4290,,,,,72.8
4291,35.93,,,,
4292,55.99,,,,
4293,,,138.31,,
4294,,,83.8,,
4295,,3.93,,,
4296,,3.91,,,
4297,,,,,26.45
4298,59.82,,,,
4299,,,71.16,,
4300,,,,,23.7
4301,42.55,,,,
4302,,3.68,,,
4303,42.33,,,,
4304,,3.55,,,
4305,,,142.89,,
4306,57.64,,,,
4307,56.65,,,,
4308,60.39,,,,
4309,,,182.26,,
4310,,,,,215.99
4311,,4.19,,,
4312,,3.49,,,
4313,,,,345.32,
4314,,,,,211.31
4315,,,,542.02,
4316,,5.01,,,
4317,68.4,,,,
4318,,,97.07,,
4319,,,,,36.58
4320,,,,,9.14
4321,64.42,,,,
4322,51.88,,,,
4323,,,52.04,,
4324,,,,,12.2
4325,,,,,39.9
4326,42.2,3.28,94.12,139.98,45.86
4327,,,,229.5,
4328,,,,,176.98
4329,,4.27,,,
4330,,3.76,,,
4331,,,,199.9,
4332,,3.94,,,
4333,38.25,,,,
4334,,3.26,,,
4335,,3.42,,,
4336,88.1,,,,
4337,,,,81.26,
4338,,,,,52.32
4339,,,104.48,,
4340,,,52.73,,
4341,38.72,,,,
4342,,,52.46,,
4343,25.88,,,,
4344,,,,54.87,
4345,,,,55.27,
4346,,2.74,,,
4347,,,,,9.05
4348,,,,150.99,
4349,,3.43,,,
4350,,,,,177.56
4351,63.17,,,,
4352,,,82.56,,
4353,50.84,,,,
4354,50.57,,,,
4355,,,31.03,,
4356,,2.64,,,
4357,,,,46.48,
4358,,,,,3.63
4359,81.17,,,,
4360,,,,23.14,
4361,,,,33.26,
4362,,,,,6.53
4363,,,,,4.86
4364,,,,38.77,
4365,,,,,4.34
4366,,,,,5.5
4367,,,26.37,,
4368,,2.45,,,
4369,,,,39.31,
4370,,2.36,,,
4371,132.92,,,,
4372,,,,21.79,
4373,,,,26.25,
4374,,,,,2.46
4375,,2.23,,,
4376,,,,18.06,
4377,,2.27,,,
4378,18.38,,,,
4379,,2.56,,,
4380,,,7.67,,
4381,22.19,,,,
4382,,2.54,,,
4383,,,6.77,,
4384,,,,,1.35
4385,19.22,,,,
4386,,,,12.2,
4387,,,,,1.75
4388,,,,,2.37
4389,,,22.99,,
4390,,,,,2.39
4391,,,21.92,,
4392,,2.72,,,
4393,,2.82,,,
4394,,3.07,,,
4395,,,,,3.32
4396,,,36.78,,
4397,,,34.55,,
4398,,3.16,,,
4399,,,31.02,,
4400,,,,37.25,
4401,,,,32.06,
4402,,2.78,,,
4403,,,20.15,,
4404,,3.25,,,
4405,,,,,1.43
4406,,,,15.86,
4407,,,,,2.8
4408,,,,,5.28
4409,,,53.38,,
4410,,,,56.31,
4411,7.94,,,,
4412,,,,,6.42
4413,,3.32,,,
4414,,,,,5.4
4415,,,,29.48,
4416,,,,,5.9
4417,6.62,3.78,26.2,30.26,4.06
4418,,,49.92,,
4419,,4.45,,,
4420,5.3,,,,
4421,,,,,7.75
4422,,,43.42,,
4423,,,,,4.76
4424,,,,,3.93
4425,,,30.03,,
4426,,,,,2.35
4427,5.57,,,,
4428,5.42,,,,
4429,,,,,2.07
4430,,,,,2.96
4431,,,,68.26,
4432,13.86,,,,
4433,,,,144.67,
4434,,,,110.33,
4435,15.18,,,,
4436,,,,,12.27
4437,19.14,,,,
4438,20.28,,,,
4439,,,,,7.23
4440,,3.25,,,
4441,,,,,9.9
4442,38.39,,,,
4443,,,,,9.87
4444,23.93,,,,
4445,,,,,4.14
4446,,,,44.32,
4447,,3.19,,,
4448,,,,26.26,
4449,34.67,,,,
4450,,,28.38,,
4451,21.89,,,,
4452,,,,22.33,
4453,,,,,1.37
4454,,,17.1,,
4455,,,,18.05,
4456,,,19.62,,
4457,,,,,5.78
4458,,,36.41,,
4459,,,30.36,,
4460,16.19,,,,
4461,13.94,,,,
4462,,,,37.47,
4463,,,,,5.11
4464,,,32.83,,
4465,25.94,,,,
4466,,,,,8.99
4467,,,,,8.32
4468,,,,,6.0
4469,,,,37.59,
4470,9.77,,,,
4471,,,,28.48,
4472,8.43,,,,
4473,,,,,1.65
4474,,,13.17,,
4475,,2.4,,,
4476,,,,15.13,
4477,,2.57,,,
4478,,,,,1.93
4479,,,,,4.99
4480,,,49.93,,
4481,,,,,21.09
4482,33.32,,,,
4483,,,,72.74,
4484,,,,125.3,
4485,,,,,30.35
4486,,,,,35.66
4487,33.06,,,,
4488,,,,,23.13
4489,,,83.16,,
4490,,,,,22.94
4491,,,,232.06,
4492,,,134.8,,
4493,,,,,94.28
4494,,2.09,,,
4495,,,121.92,,
4496,,,,,121.35
4497,,,,334.54,
4498,,,,,156.67
4499,,,,452.37,
4500,,,177.75,,
4501,,2.56,,,
4502,,,,53.17,
4503,,,,,9.47
4504,,1.9,,,
4505,,,,,23.65
4506,,,,,24.5
4507,,,,,44.29
4508,37.62,,,,
4509,,,,189.25,
4510,,,,137.0,
4511,44.87,,,,
4512,,,,,94.31
4513,,,,175.03,
4514,,2.43,,,
4515,,,,,17.8
4516,,,50.98,,
4517,46.03,,,,
4518,,,,,104.73
4519,50.25,,,,
4520,,,,,93.37
4521,,,,,53.26
4522,,,57.38,,
4523,48.61,,,,
4524,,,,117.25,
4525,,,71.59,,
4526,,,90.64,,
4527,,,94.86,,
4528,,2.57,,,
4529,,,,141.28,
4530,,,,,33.49
4531,,2.5,,,
4532,,,,,26.56
4533,,,,,38.59
4534,53.92,,,,
4535,49.12,,,,
4536,,,,,21.79
4537,,,53.79,,
4538,73.59,,,,
4539,73.34,,,,
4540,,1.48,,,
4541,66.84,,,,
4542,,1.53,,,
4543,,,83.5,,
4544,,,102.17,,
4545,,,,,21.73
4546,,,49.66,,
4547,,,36.39,,
4548,,,,,7.99
4549,,1.31,,,
4550,,,,46.8,
4551,,1.43,,,
4552,,,,,16.03
4553,8.86,1.84,124.95,193.96,69.01
4554,12.66,,,,
4555,,2.15,,,
4556,,,,223.9,
4557,,,,,74.78
4558,,,,176.81,
4559,,,,106.32,
4560,27.26,,,,
4561,,2.72,,,
4562,26.73,,,,
4563,24.74,,,,
4564,,2.34,,,
4565,19.03,,,,
4566,,,,,8.1
4567,,,,71.17,
4568,7.32,,,,
4569,,,,,9.61
4570,5.53,,,,
4571,,,,46.21,
4572,,,,,110.89
4573,5.31,1.02,62.3,72.36,10.06
4574,,,,,6.3
4575,,,,,10.42
4576,,,,108.11,
4577,7.4,,,,
4578,,,31.52,,
4579,,,,,0.83
4580,6.72,,,,
4581,7.08,,,,
4582,,,,,2.05
4583,,,,,2.54
4584,,,,,3.36
4585,6.57,,,,
4586,,,,,2.11
4587,,1.56,,,
4588,7.06,,,,
4589,8.93,,,,
4590,,,52.58,,
4591,,1.52,,,
4592,,,46.3,,
4593,3.3,,,,
4594,,1.67,,,
4595,,,,,4.81
4596,4.43,,,,
4597,,,,198.31,
4598,,,,,8.83
4599,6.93,,,,
4600,,1.57,,,
4601,3.74,1.62,27.64,33.14,5.5
4602,2.71,,,,
4603,,,,37.65,
4604,1.33,,,,
4605,,1.59,,,
4606,,,,22.87,
4607,,,16.61,,
4608,,,,,2.98
4609,,,,,1.11
4610,,,15.7,,
4611,,,30.71,,
4612,,,31.21,,
4613,,,30.69,,
4614,,,,,9.84
4615,,,,,5.34
4616,,1.65,,,
4617,,,,,7.08
4618,1.0,,,,
4619,,,,53.79,
4620,,,60.53,,
4621,,,,,56.08
4622,9.96,,,,
4623,9.42,,,,
4624,7.02,,,,
4625,23.81,,,,
4626,,,,100.88,
4627,,,,89.37,
4628,,2.27,,,
4629,,,,,9.94
4630,,2.29,,,
4631,9.44,,,,
4632,7.28,,,,
4633,,,30.99,,
4634,,,41.22,,
4635,,,,,36.58
4636,,,83.71,,
4637,,,103.82,,
4638,8.29,,,,
4639,,2.75,,,
4640,,,82.3,,
4641,,,68.61,,
4642,3.21,,,,
4643,,2.53,,,
4644,,,,,69.04
4645,,2.84,,,
4646,,,,297.24,
4647,,,,,140.47
4648,24.02,,,,
4649,,,,213.07,
4650,,,,,151.53
4651,37.19,,,,
4652,,,,,159.71
4653,,,149.95,,
4654,,4.2,,,
4655,,,,128.64,
4656,,,,172.93,
4657,,,,195.95,
4658,26.92,,,,
4659,,,,,34.54
4660,,,152.85,,
4661,,,274.46,,
4662,,,,,27.06
4663,,,,65.51,
4664,,4.98,,,
4665,,,,134.16,
4666,43.58,,,,
4667,,6.13,,,
4668,,,,,213.84
4669,,,250.05,,
4670,,5.77,,,
4671,,6.21,,,
4672,,,,540.43,
4673,,,,431.88,
4674,,5.68,,,
4675,,,,,252.29
4676,,,191.06,,
4677,,4.3,,,
4678,80.5,,,,
4679,,,163.31,,
4680,,5.02,,,
4681,,,,556.24,
4682,,,,,341.7
4683,,,,449.87,
4684,,,,222.52,
4685,101.22,,,,
4686,90.07,,,,
4687,,,,,1.82
4688,,,,48.62,
4689,,,114.9,,
4690,,,,315.49,
4691,53.33,,,,
4692,62.31,,,,
4693,,4.64,,,
4694,,,,491.45,
4695,,,,,211.32
4696,,,,272.91,
4697,74.27,,,,
4698,,,,188.58,
4699,,,,,67.19
4700,,2.49,,,
4701,,3.34,,,
4702,51.83,,,,
4703,,,,,342.24
4704,80.22,,,,
4705,94.57,,,,
4706,,,121.78,,
4707,,,,142.72,
4708,,3.61,,,
4709,80.15,,,,
4710,74.59,,,,
4711,,4.03,,,
4712,,4.4,,,
4713,82.13,,,,
4714,,,,749.36,
4715,117.27,,,,
4716,,,,420.84,
4717,,,,466.38,
4718,,,,288.41,
4719,87.83,,,,
4720,79.21,,,,
