,S9_PM10,S9_SO2,S9_NO2,S9_NOX,S9_NO
1055,,,,20.82,
1056,,2.58,,,
1057,21.02,,,,
1058,,2.88,,,
1059,,,,21.36,
1060,,,16.25,,
1061,,,,19.42,
1062,,,14.23,,
1063,,,,18.84,
1064,,2.77,,,
1065,,,15.22,,
1066,,,17.2,,
1067,,2.58,,,
1068,,,,,2.61
1069,19.69,,,,
1070,,,59.47,,
1071,17.19,,,,
1072,,3.41,,,
1073,,,,69.44,
1074,,3.5,,,
1075,,,,58.64,
1076,,3.14,,,
1077,,3.48,,,
1078,,,53.89,,
1079,,,47.34,,
1080,,,35.13,,
1081,26.72,,,,
1082,27.77,,,,
1083,,,,55.08,
1084,,3.23,,,
1085,,,,53.99,
1086,,,35.71,,
1087,,,,,7.98
1088,,,,,5.75
1089,,3.33,,,
1090,,,50.96,,
1091,,,40.44,,
1092,,,,,4.21
1093,,,,85.55,
1094,,,,,4.02
1095,,2.95,,,
1096,20.0,,,,
1097,,3.04,,,
1098,,,,60.76,
1099,,,,,2.05
1100,,,,46.26,
1101,,,,,2.03
1102,9.22,,,,
1103,,,,,13.14
1104,,4.09,,,
1105,,,,,12.08
1106,,,40.89,,
1107,,,,34.61,
1108,,,23.66,,
1109,,,,,4.57
1110,,3.27,,,
1111,,,,,4.86
1112,14.26,,,,
1113,,3.4,,,
1114,,,,44.23,
1115,,,58.15,,
1116,5.59,,,,
1117,,,,115.74,
1118,,,122.76,,
1119,,,,207.06,
1120,,,,259.07,
1121,27.37,,,,
1122,27.53,,,,
1123,31.51,,,,
1124,39.46,,,,
1125,36.3,,,,
1126,,,,,25.94
1127,,,,36.21,
1128,,,25.49,,
1129,,,,,5.27
1130,16.04,,,,
1131,,,,30.0,
1132,,,28.56,,
1133,,,30.66,,
1134,5.04,,,,
1135,,2.41,,,
1136,4.38,,,,
1137,4.44,,,,
1138,,,27.19,,
1139,5.69,,,,
1140,,,,,2.02
1141,,2.54,,,
1142,,,,,2.06
1143,,,,55.21,
1144,,,,43.21,
1145,,,,39.85,
1146,,,,58.76,
1147,11.22,,,,
1148,,,,,9.48
1149,,3.41,,,
1150,,,,40.2,
1151,21.2,,,,
1152,,,26.41,,
1153,36.63,,,,
1154,,,,,6.9
1155,23.21,,,,
1156,,,71.25,,
1157,,2.94,,,
1158,35.66,,,,
1159,,2.04,,,
1160,43.84,,,,
1161,,,,,5.43
1162,,,21.74,,
1163,,,,,4.25
1164,,,,,5.53
1165,,,87.7,,
1166,,,,51.66,
1167,,,22.6,,
1168,28.82,,,,
1169,,,,38.54,
1170,,,33.7,,
1171,,,33.99,,
1172,,,,,8.11
1173,,,,,6.44
1174,30.08,,,,
1175,,1.46,,,
1176,,1.73,,,
1177,,,,,4.61
1178,,1.8,,,
1179,26.74,1.72,15.91,20.26,4.35
1180,,,,19.28,
1181,,,,,4.04
1182,12.86,,,,
1183,,,18.52,,
1184,,,,,8.83
1185,14.83,,,,
1186,,,,82.51,
1187,11.93,,,,
1188,17.92,,,,
1189,,,26.65,,
1190,,,22.09,,
1191,21.9,,,,
1192,,,,26.35,
1193,,,,,7.95
1194,,,54.06,,
1195,20.19,,,,
1196,,1.74,,,
1197,,,19.05,,
1198,20.74,,,,
1199,,,,49.87,
1200,,,,,8.05
1201,,,,115.27,
1202,,2.04,,,
1203,25.84,,,,
1204,,,,,28.52
1205,,,,74.96,
1206,,,,65.24,
1207,,1.51,,,
1208,24.68,1.61,37.37,42.59,5.22
1209,21.39,,,,
1210,,,,39.82,
1211,26.56,,,,
1212,20.49,,,,
1213,,,23.81,,
1214,,,,66.4,
1215,22.23,,,,
1216,,2.86,,,
1217,22.06,,,,
1218,,,,30.48,
1219,20.73,,,,
1220,,,,,5.66
1221,,,,64.69,
1222,,,,,32.87
1223,,,137.86,,
1224,,3.05,,,
1225,,3.16,,,
1226,,,,,89.66
1227,,,,184.94,
1228,,,,135.22,
1229,,,,122.71,
1230,,,,87.59,
1231,39.23,,,,
1232,,,,,32.8
1233,,,,103.91,
1234,,,,101.38,
1235,,,,92.63,
1236,,,,89.19,
1237,,,,31.39,
1238,,,23.8,,
1239,,,,,6.79
1240,,1.82,,,
1241,,,,,5.71
1242,,,,21.49,
1243,,2.02,,,
1244,,,,,6.57
1245,,,33.21,,
1246,26.3,,,,
1247,,,,,4.54
1248,,1.64,,,
1249,,1.48,,,
1250,27.39,1.42,48.12,53.45,5.33
1251,25.11,,,,
1252,,1.94,,,
1253,,,,28.85,
1254,,,,,4.91
1255,,,,31.1,
1256,,,,37.6,
1257,,,22.77,,
1258,,1.93,,,
1259,,1.95,,,
1260,,,,,5.91
1261,25.4,,,,
1262,,,,20.58,
1263,,,15.06,,
1264,,,,,5.5
1265,,,18.42,,
1266,,,,26.29,
1267,,2.58,,,
1268,,,32.54,,
1269,,,,,7.33
1270,,,81.28,,
1271,,,,94.19,
1272,,1.85,,,
1273,,,,,4.96
1274,,1.72,,,
1275,,1.69,,,
1276,25.79,,,,
1277,19.09,,,,
1278,,,,,8.24
1279,,,,,15.32
1280,21.48,,,,
1281,,,31.82,,
1282,,,39.02,,
1283,,,42.31,,
1284,,,26.98,,
1285,,,,,6.57
1286,,1.99,,,
1287,,,,,5.41
1288,,2.1,,,
1289,,,,84.86,
1290,,,,,14.36
1291,,,,,31.92
1292,,,,67.72,
1293,35.24,,,,
1294,37.86,,,,
1295,,,,36.71,
1296,,1.42,,,
1297,,1.47,,,
1298,,,37.29,,
1299,,,,41.26,
1300,,1.75,,,
1301,,1.41,,,
1302,,1.66,,,
1303,17.16,1.74,19.42,25.13,5.71
1304,,,12.95,,
1305,,,,21.57,
1306,,,,23.84,
1307,,,,31.96,
1308,,,,30.69,
1309,,,,,4.43
1310,,,,,3.47
1311,,,67.11,,
1312,22.87,,,,
1313,,1.35,,,
1314,,,,,11.5
1315,33.05,,,,
1316,,,,,7.47
1317,,,,,19.58
1318,,,,107.78,
1319,,,,94.53,
1320,,,,71.27,
1321,,,,,13.98
1322,,,,,8.6
1323,,,,,9.15
1324,27.07,,,,
1325,32.57,,,,
1326,,,,41.38,
1327,,,,,8.01
1328,,,,178.91,
1329,,,44.3,,
1330,40.44,,,,
1331,,,42.38,,
1332,,,,,10.97
