,S2_PM10,S2_PM25,S2_SO2,S2_CO,S2_03,OUT
307,44.2,2.61,3.22,1349.74,8.03,2
308,41.3,3.96,3.72,1368.4,8.74,2
309,37.8,3.08,3.12,1241.15,9.54,2
310,33.4,2.15,2.38,1132.74,10.6,2
311,34.6,1.51,2.13,1054.87,10.65,2
312,30.7,1.06,2.09,1060.67,10.94,2
313,48.2,7.37,4.66,1678.0,8.11,3
314,72.9,13.53,4.12,1598.36,9.02,1
315,6.5,0.0,4.83,1315.96,13.17,2
316,47.5,5.0,3.18,1598.19,7.42,2
317,46.4,4.51,3.15,1462.24,7.3,2
318,45.2,8.4,3.3,1480.18,8.39,2
319,33.3,5.35,3.62,1227.57,11.29,2
320,30.1,2.89,3.86,1759.98,7.68,3
321,52.6,8.93,4.19,1670.33,9.28,3
322,57.4,10.71,3.97,1423.65,10.99,3
323,56.1,7.5,3.62,1459.96,11.36,2
324,49.3,6.0,3.61,1477.31,10.7,3
325,56.7,11.02,4.13,1484.11,10.25,3
326,55.1,7.72,3.83,1405.11,10.28,3
327,51.2,5.39,3.17,1375.55,10.2,2
328,47.3,3.92,3.69,1340.12,11.29,2
329,44.7,4.11,4.37,1462.37,9.03,2
330,43.7,3.94,4.81,1448.54,9.18,2
331,45.8,7.23,4.2,1449.27,10.93,2
332,42.2,5.08,4.75,1605.8,7.63,2
333,44.5,3.84,4.41,1541.22,7.46,2
334,38.0,4.5,3.89,1434.33,10.7,2
335,31.9,3.87,3.38,1242.29,14.49,1
336,24.1,3.78,3.72,1185.85,13.78,1
337,22.2,3.68,3.34,1125.72,13.54,2
338,26.0,2.85,3.78,1352.27,10.39,2
339,29.9,3.91,3.17,1361.13,10.76,2
340,28.3,3.06,3.0,1351.16,11.32,2
341,28.3,2.76,3.63,1347.99,11.47,2
342,27.0,7.95,3.44,1268.86,12.51,2
343,27.7,10.0,3.71,1241.83,13.18,1
344,22.9,7.0,3.97,1244.94,13.18,1
345,23.0,4.92,3.78,1243.0,13.54,1
346,23.7,3.67,3.92,1256.01,13.12,2
347,25.0,3.05,4.55,1407.78,11.27,2
348,45.6,6.52,4.61,1486.67,10.23,3
349,58.7,4.56,4.34,1527.88,9.61,3
350,57.3,3.19,3.87,1507.44,9.56,3
351,59.0,2.24,4.04,1557.77,8.0,2
352,46.7,1.56,3.86,1485.35,9.36,2
353,44.7,1.1,3.39,1497.23,8.98,2
354,38.9,1.19,3.31,1482.87,8.07,2
355,41.4,4.6,3.11,1504.72,7.9,2
356,44.3,4.16,3.77,1594.46,6.57,2
357,39.8,11.38,3.16,1540.38,7.58,2
358,48.9,7.99,3.1,1461.43,9.18,2
359,45.1,5.78,3.66,1373.43,11.74,2
360,41.3,5.89,3.11,1282.53,14.12,2
361,36.3,5.39,2.93,1224.52,14.12,2
362,29.3,3.77,2.82,1214.89,12.56,1
363,23.9,2.76,2.81,1243.93,12.29,2
364,43.1,3.77,3.23,1263.22,11.66,2
365,36.9,8.54,3.26,1253.05,13.26,2
366,29.2,5.61,3.31,1273.11,13.32,2
