,S1_PM10,S1_PM25,S1_SO2,S1_NO2,S1_NOX,S1_NO
346,25.85,6.18,2.8,24.35,30.67,6.32
347,14.19,7.2,2.69,29.29,37.6,8.31
348,14.67,5.85,2.4,32.25,43.45,11.2
349,13.44,9.03,2.99,32.85,42.88,10.03
350,20.42,10.92,2.95,43.55,54.74,11.19
351,34.22,14.91,3.18,52.68,63.08,10.4
352,43.1,17.47,2.98,71.2,84.16,12.96
353,58.03,13.91,2.16,60.01,69.3,9.29
354,36.86,20.1,2.09,61.04,71.61,10.57
355,41.95,14.85,2.2,51.66,59.08,7.42
356,40.99,17.9,2.08,71.62,83.84,12.22
357,44.29,14.47,2.27,73.15,86.2,13.05
358,31.46,20.91,3.12,67.31,75.49,8.18
359,38.58,28.99,4.14,67.08,73.73,6.65
360,37.3,18.4,4.11,59.6,65.34,5.74
361,36.92,21.42,3.75,52.34,56.68,4.34
362,42.43,12.51,2.44,18.64,21.02,2.38
363,24.08,7.22,1.8,12.84,14.94,2.1
364,12.71,6.16,1.79,17.32,19.73,2.41
365,9.35,6.55,1.98,20.57,23.77,3.2
366,13.95,12.18,1.8,17.66,21.61,3.95
367,14.94,14.62,1.95,12.32,16.89,4.57
368,7.66,10.54,1.98,14.46,20.81,6.35
369,14.48,8.54,2.05,14.39,20.99,6.6
370,10.52,5.0,2.18,14.75,21.63,6.88
371,13.03,5.12,2.24,19.41,26.55,7.14
372,17.04,5.0,2.03,24.2,32.3,8.1
373,30.07,8.9,1.83,32.11,40.8,8.69
374,26.2,14.83,1.68,40.63,47.85,7.22
375,36.25,10.95,1.55,37.88,45.75,7.87
376,35.23,7.72,1.56,38.61,45.59,6.98
377,32.92,20.88,1.79,37.1,43.34,6.24
378,42.52,14.96,1.8,39.52,44.73,5.21
379,35.04,15.1,1.91,35.39,40.73,5.34
380,43.89,15.44,1.9,33.71,37.13,3.42
381,50.63,11.12,1.84,32.6,37.17,4.57
382,36.74,22.32,1.98,26.39,29.92,3.53
383,26.84,14.17,2.5,22.54,25.24,2.7
384,39.97,8.45,3.55,20.84,23.37,2.53
385,34.34,8.49,2.35,26.02,28.69,2.67
386,34.47,33.24,2.87,50.85,59.95,9.1
387,33.51,25.64,2.61,83.62,109.08,25.46
388,45.63,28.85,3.79,90.69,133.06,42.37
389,46.2,25.07,14.87,43.63,59.49,15.86
390,33.88,21.78,12.15,26.13,35.73,9.6
391,34.51,27.52,8.71,22.05,30.65,8.6
392,39.88,15.9,7.21,21.02,30.37,9.35
393,25.38,14.04,8.5,16.65,23.67,7.02
394,20.23,9.38,8.6,17.31,24.14,6.83
395,24.72,7.97,6.85,15.12,20.77,5.65
